PWGTP,HISP,CIT,POWSP,RAC1P,SEX
62,2,5,6,8,1
69,2,5,6,8,2
52,2,5,6,8,1
114,11,1,6,1,2
108,1,1,6,6,1
67,1,1,6,1,2
57,1,1,6,1,2
53,1,1,5,1,2
36,1,1,5,1,1
41,1,1,5,1,1
60,2,1,6,1,2
107,2,1,6,1,1
108,2,1,6,1,1
128,1,1,1,1,1
68,1,1,6,1,2
108,1,1,4,1,1
100,2,4,6,8,2
106,2,4,6,8,1
115,1,1,6,1,1
195,1,1,6,1,1
175,1,1,6,1,2
42,1,1,6,1,2
53,1,1,6,1,1
48,1,1,6,1,2
97,1,4,6,6,1
173,1,4,6,6,1
154,1,4,6,6,2
67,1,1,4,1,2
119,1,1,4,1,2
58,1,1,4,1,2
64,1,1,4,1,1
60,1,3,4,1,2
77,1,1,4,1,1
345,1,1,6,1,2
432,1,1,6,1,1
45,1,1,6,1,2
104,1,1,6,1,2
72,1,1,5,1,1
209,2,4,6,8,1
187,2,4,6,8,2
264,2,1,6,8,1
214,2,1,6,8,1
126,1,1,4,1,2
70,2,1,6,1,2
62,2,4,6,1,1
74,2,1,6,1,2
38,2,4,6,1,1
36,2,1,6,1,2
99,14,1,6,1,2
38,1,1,6,1,1
183,1,1,4,1,2
310,1,3,6,1,2
68,1,1,1,1,1
35,1,1,6,1,2
41,1,1,6,1,1
40,1,5,6,1,1
126,1,4,6,6,1
255,1,1,6,6,2
386,1,5,6,6,1
80,23,4,6,6,1
80,1,4,6,6,2
119,1,4,6,6,1
128,1,1,6,6,2
70,1,5,6,6,2
59,1,4,6,6,1
61,1,1,6,1,2
61,1,1,6,1,2
46,1,1,6,1,1
76,1,1,6,1,1
54,1,4,6,1,2
64,1,1,6,1,1
68,1,1,6,6,2
58,24,4,6,8,1
69,24,1,6,8,1
114,1,1,6,1,2
34,1,4,6,1,1
61,1,3,6,1,2
107,1,1,6,1,1
131,1,1,6,1,2
123,1,1,6,1,1
137,1,1,6,1,2
54,2,4,6,1,2
85,1,1,6,1,2
108,1,1,6,1,1
142,1,1,6,1,2
57,2,4,6,8,2
181,11,5,6,8,1
180,11,5,6,8,1
175,11,5,6,8,1
216,11,5,6,8,2
210,1,1,1,1,1
201,1,1,1,1,2
9,1,1,1,1,1
137,1,1,6,1,2
132,6,4,6,1,1
7,1,1,5,1,1
31,1,1,6,1,1
34,1,1,6,1,2
77,1,1,1,1,2
77,1,1,6,1,2
75,1,1,6,1,2
15,1,1,1,1,1
57,1,1,6,2,2
260,2,1,4,8,2
79,2,1,6,1,2
75,3,1,4,1,2
75,1,1,6,1,1
57,1,1,6,1,1
146,2,4,6,8,1
75,1,1,6,1,2
62,1,1,6,1,1
86,1,1,6,1,1
95,1,1,6,1,1
158,2,5,6,1,2
162,2,5,6,1,1
109,1,1,6,1,2
62,2,4,6,8,1
75,2,1,6,8,1
111,2,1,6,1,1
106,1,1,4,1,2
45,1,1,6,1,1
57,1,1,6,6,2
83,1,1,6,6,2
113,1,1,6,6,1
38,1,1,6,1,2
491,1,1,6,2,2
539,1,1,6,2,1
126,1,1,6,1,2
130,1,1,6,1,1
166,1,1,6,2,2
68,1,4,6,1,1
213,2,5,6,9,1
159,1,4,6,6,1
118,1,1,2,1,1
57,1,1,6,1,1
57,1,4,6,1,2
101,2,1,6,9,1
118,1,1,6,1,2
69,1,1,6,1,1
76,1,1,6,6,2
65,1,1,6,1,1
64,1,1,6,1,2
199,1,1,6,1,1
62,1,1,6,1,1
68,1,1,6,1,2
197,1,1,6,2,1
143,1,4,6,7,1
176,1,1,1,2,1
99,2,4,6,1,2
118,2,5,6,1,1
152,2,5,6,1,1
73,16,1,4,8,1
105,1,1,4,1,1
105,1,1,4,1,2
27,1,1,5,1,1
431,2,1,6,1,1
214,1,1,1,2,2
135,1,1,1,2,1
352,1,5,6,6,2
286,1,5,6,6,1
119,1,1,6,1,1
115,1,1,6,1,2
40,1,1,6,1,2
154,11,5,6,1,1
196,11,1,6,1,1
86,1,1,6,1,2
55,1,4,6,6,1
48,1,4,6,6,2
106,1,4,6,6,2
47,1,1,6,1,2
57,1,4,6,1,1
51,1,1,1,2,2
49,1,1,1,2,1
100,2,4,6,8,2
116,2,4,6,8,1
152,24,1,6,1,2
217,1,1,1,2,1
44,21,1,4,1,1
54,1,1,6,1,2
64,2,1,6,1,1
41,2,4,6,8,2
39,2,4,6,8,1
68,1,4,6,6,1
75,1,4,6,6,1
52,1,4,6,6,1
90,1,4,6,6,1
9,1,1,1,1,2
11,1,1,1,1,1
23,1,1,6,1,1
18,1,1,6,1,2
77,2,1,4,1,1
69,1,1,4,1,2
64,1,1,1,1,2
67,1,1,1,1,1
37,1,4,6,6,1
57,1,4,6,6,2
64,2,5,6,1,2
77,2,5,6,1,1
95,1,4,6,6,1
116,1,4,6,6,2
63,1,1,6,1,1
66,1,1,4,1,1
71,1,1,2,4,1
195,1,1,2,4,2
107,1,1,1,1,2
115,1,1,1,1,1
80,1,1,6,1,2
92,1,1,4,1,2
79,2,3,6,1,2
85,2,5,6,1,1
57,1,1,1,1,1
72,1,1,1,1,2
18,1,5,4,6,2
47,2,5,6,8,1
57,2,4,6,8,2
66,2,4,6,8,2
55,2,1,6,8,1
39,1,1,1,1,1
64,1,1,1,9,2
90,1,1,6,2,2
126,1,1,6,2,2
70,1,4,6,6,2
101,1,4,6,6,1
92,1,4,6,6,2
196,1,4,1,1,1
60,1,1,6,1,1
84,1,1,4,1,1
81,1,3,4,1,2
105,1,1,4,1,1
67,1,4,6,6,1
89,1,4,6,6,2
89,1,4,6,6,2
218,2,4,6,1,2
369,2,4,6,1,1
104,1,1,6,1,2
67,1,1,6,1,1
126,2,4,6,8,1
95,24,1,6,1,1
96,24,1,6,1,1
57,1,1,6,1,2
62,1,1,6,1,1
117,2,4,6,1,1
284,1,1,2,1,2
265,1,4,4,1,1
67,1,1,1,1,1
62,1,1,1,1,2
204,1,1,1,1,2
141,1,1,6,9,2
127,1,1,6,2,1
119,1,1,6,1,1
19,2,4,6,1,2
132,1,1,4,1,1
206,1,1,4,1,2
76,1,1,4,1,1
159,1,1,4,1,2
32,1,1,6,1,1
29,1,1,6,1,2
166,2,5,6,1,1
204,2,5,6,1,1
204,2,5,6,1,1
39,1,1,5,9,1
67,2,1,4,1,1
126,2,1,4,1,1
397,1,4,6,7,2
106,1,1,4,1,1
49,1,3,4,1,1
45,1,4,6,6,1
42,1,4,6,6,2
118,2,1,6,1,1
95,1,1,6,9,2
19,1,1,1,1,2
118,1,1,6,1,2
79,1,1,6,2,1
92,1,1,6,2,2
73,1,1,1,1,1
86,1,1,1,1,2
26,2,5,6,8,1
42,2,1,6,8,1
39,2,1,6,8,1
76,1,1,6,1,1
74,1,1,6,1,2
120,1,1,6,1,1
120,1,1,6,1,1
172,1,1,5,1,1
23,1,1,4,3,2
190,1,1,6,1,2
189,1,1,6,1,1
143,2,4,6,1,1
129,2,5,6,1,2
78,1,1,6,1,1
131,1,1,1,1,1
124,1,1,1,1,1
96,1,1,6,1,1
118,1,1,6,1,2
72,2,1,6,8,1
74,2,1,6,1,2
77,1,1,1,9,1
70,1,1,1,1,2
119,2,5,6,8,1
127,2,5,6,8,2
94,1,4,6,1,1
86,1,4,6,1,2
89,1,1,5,1,2
94,1,1,5,1,1
67,1,1,6,6,2
113,1,1,6,6,2
96,1,1,5,1,2
107,1,1,5,1,1
62,8,1,6,1,1
100,1,5,6,9,1
62,1,1,1,1,2
53,1,1,1,1,1
68,1,1,1,1,1
107,2,1,6,8,2
412,2,5,6,1,1
460,2,5,6,1,2
349,2,5,6,1,1
599,2,5,6,1,2
106,1,4,6,6,1
174,1,1,6,1,1
108,1,5,6,6,1
105,1,5,6,6,2
258,2,4,6,1,2
256,2,5,6,1,1
54,1,1,1,9,1
43,1,1,5,1,1
25,1,1,5,1,2
63,1,1,5,1,1
57,1,1,6,1,1
98,2,5,4,8,1
22,1,1,6,1,2
87,1,1,5,1,1
85,1,1,5,1,2
341,1,1,6,1,1
290,1,1,6,1,2
202,1,1,4,1,2
206,1,1,4,1,1
342,2,5,6,1,1
64,1,4,6,1,2
106,1,1,6,2,1
29,1,5,6,6,1
36,1,1,6,1,1
117,11,4,6,8,1
147,11,1,6,8,2
197,11,5,6,8,1
59,1,1,6,1,2
62,1,1,6,1,1
82,1,1,6,2,1
71,1,5,6,6,1
88,1,5,6,6,1
55,1,1,6,1,1
81,1,4,6,6,2
334,1,1,6,1,2
77,1,1,6,1,1
61,1,1,6,1,2
58,2,1,6,1,2
103,1,1,6,1,2
99,1,1,6,1,1
149,11,5,6,1,1
52,1,3,6,1,2
43,2,5,6,1,1
46,2,1,4,1,1
237,1,4,6,6,2
104,2,1,6,8,1
57,1,1,6,1,2
50,1,1,6,6,2
40,1,1,6,1,2
57,1,1,6,1,2
62,1,1,6,1,1
126,1,1,6,1,2
42,1,1,6,1,1
166,1,1,5,1,1
77,1,1,5,1,2
80,1,1,6,1,1
118,1,1,6,1,2
83,16,4,6,1,2
48,1,1,6,1,2
393,1,1,1,2,1
244,2,1,4,1,2
185,2,1,4,1,1
90,2,5,6,8,1
63,1,1,6,1,2
353,1,1,6,1,1
179,2,4,6,1,2
163,2,1,6,1,2
84,1,1,4,1,1
114,1,1,1,1,1
97,1,1,1,1,2
67,1,1,6,6,2
52,1,1,6,1,1
55,1,1,6,1,2
12,1,1,1,1,2
17,1,1,1,1,1
54,1,1,6,2,1
73,1,1,6,2,2
94,1,1,6,2,1
39,1,5,4,6,1
42,1,1,6,1,2
62,2,5,6,1,1
73,2,1,6,1,1
52,1,1,6,1,2
59,1,1,6,1,1
69,1,1,6,1,2
62,1,1,4,1,2
88,1,1,4,1,1
244,2,5,4,8,1
73,2,5,6,9,1
39,2,1,6,8,1
41,2,1,6,9,2
82,1,1,6,1,2
99,1,4,6,6,1
60,1,3,6,6,2
141,1,4,6,6,2
86,2,1,6,1,2
108,1,1,6,1,1
135,2,1,6,1,1
119,2,1,6,1,2
13,1,1,1,1,2
64,1,1,5,1,1
78,1,1,5,1,2
172,1,1,5,1,2
52,1,5,6,6,1
59,1,5,6,6,2
337,2,1,6,8,2
216,1,4,6,1,2
58,1,4,6,6,1
69,1,5,6,6,2
57,1,1,6,1,1
63,2,4,6,1,1
75,2,1,6,1,2
103,2,5,6,1,1
64,1,4,6,6,2
136,1,4,6,6,2
113,1,1,6,6,2
61,2,5,4,1,1
61,1,1,6,1,1
157,24,5,6,1,1
162,24,4,6,1,2
65,1,4,6,2,1
70,1,4,6,2,2
108,1,1,6,1,2
128,2,1,6,1,1
16,2,5,6,8,1
15,2,1,6,1,1
20,2,5,6,1,1
537,1,1,2,6,1
96,1,5,6,6,1
79,1,5,6,6,2
55,1,4,6,6,2
117,1,1,6,1,2
193,1,1,6,1,1
120,11,4,6,8,2
122,7,5,6,8,1
25,1,1,1,1,2
184,1,1,6,1,1
231,1,1,6,1,1
190,1,1,6,1,1
130,2,5,1,1,2
388,2,5,1,1,1
63,1,1,4,1,2
72,1,1,4,1,1
26,1,1,5,1,2
100,1,4,6,6,1
136,1,1,6,6,1
118,1,1,6,6,2
105,1,1,6,6,2
106,1,1,6,6,2
114,1,5,6,6,1
341,2,5,6,1,2
372,2,5,6,1,1
136,1,4,6,6,1
65,2,5,6,1,1
77,2,5,6,1,1
68,7,4,6,8,1
112,2,5,6,8,1
78,2,5,6,1,2
76,1,1,1,2,2
126,1,1,6,2,1
220,1,1,6,2,2
106,4,4,6,1,1
141,2,1,6,1,1
392,1,1,6,1,1
98,1,1,6,1,1
143,1,1,6,1,1
141,8,5,6,8,1
141,2,1,6,8,2
53,1,1,6,1,1
63,1,1,6,1,2
94,1,1,6,1,1
92,1,1,6,1,1
64,1,1,4,1,1
63,1,4,6,2,2
49,1,1,1,1,2
55,1,1,1,1,1
84,1,1,6,1,2
117,1,1,6,1,2
320,2,1,6,8,2
400,2,4,6,8,1
98,1,1,6,1,2
107,1,1,6,1,1
148,1,1,2,1,1
213,1,1,2,1,2
110,1,1,2,1,2
110,1,1,2,1,2
60,1,1,6,1,2
283,3,1,6,1,1
200,2,1,6,8,2
35,1,1,6,1,1
175,13,1,6,8,1
56,1,1,6,1,1
33,1,1,4,3,2
66,1,1,1,1,1
162,2,1,6,1,1
61,1,1,6,1,2
132,1,1,1,2,1
119,1,1,1,1,2
68,1,1,5,1,2
100,1,1,5,1,1
114,1,4,6,6,2
101,2,4,6,9,1
156,2,5,6,6,2
63,1,1,4,6,1
56,1,1,4,1,2
79,1,1,6,1,2
104,1,1,6,1,1
121,1,1,6,1,2
124,1,1,6,2,2
49,1,1,4,1,2
76,2,1,4,9,1
93,1,5,6,6,1
125,1,1,6,6,2
89,1,1,6,6,1
124,1,5,6,6,2
129,1,4,6,6,1
130,1,5,6,6,1
90,2,1,6,1,1
138,2,4,6,1,1
21,1,1,1,1,1
385,1,1,1,1,2
320,1,1,1,1,1
451,1,1,1,1,1
319,1,1,1,1,1
338,1,4,6,6,2
68,1,1,6,1,2
49,1,1,6,1,1
72,1,1,4,1,1
80,1,1,2,9,1
51,1,1,2,1,2
45,1,1,2,9,1
139,2,1,6,1,2
170,2,5,6,1,1
61,2,1,6,8,1
68,2,4,6,2,2
92,2,4,6,2,1
110,1,1,6,2,2
98,1,1,6,2,1
67,1,4,6,1,2
57,2,4,6,1,1
92,2,1,6,1,1
73,2,1,6,1,1
79,1,1,6,1,1
48,1,1,1,2,1
116,1,1,6,2,1
76,1,1,6,6,1
54,1,1,5,1,1
63,1,1,5,1,2
323,2,1,4,1,1
26,1,1,5,1,2
20,1,1,5,1,1
35,1,1,5,1,1
51,1,4,6,1,2
53,1,4,6,1,1
65,1,1,6,1,2
43,1,1,6,1,1
42,1,1,6,1,2
34,1,1,6,1,1
45,1,1,6,1,1
