PWGTP,HISP,CIT,POWSP,RAC1P,SEX
71,1,4,6,1,1
60,1,4,4,1,2
36,1,1,6,1,2
39,1,1,6,1,1
76,1,1,5,1,1
174,2,1,6,1,2
221,1,1,6,1,1
88,1,1,6,1,1
79,1,1,6,1,1
64,1,1,5,1,2
65,1,1,6,1,1
81,2,1,6,6,2
121,2,5,6,1,1
38,1,5,6,6,1
91,3,1,6,1,1
46,1,1,6,1,1
65,1,1,6,1,1
75,1,1,6,9,2
82,2,4,6,1,1
74,2,4,6,1,2
18,1,1,6,1,1
53,1,5,6,6,1
113,1,1,4,1,1
110,2,1,4,1,2
52,2,1,6,1,2
81,2,1,6,1,1
90,2,5,6,1,2
199,1,1,1,1,2
184,1,1,1,1,1
36,2,5,4,1,2
79,2,1,6,8,1
60,1,5,6,6,2
73,1,4,6,1,1
76,1,4,6,1,2
272,2,4,6,1,2
278,2,1,6,1,2
278,2,1,6,1,2
41,1,4,6,6,1
35,1,4,6,6,2
71,1,1,6,1,1
243,1,4,6,6,2
308,1,4,6,6,2
67,1,1,1,1,2
53,2,4,6,1,1
117,1,1,6,1,1
125,1,1,6,2,2
212,1,1,6,6,1
154,1,1,6,6,2
143,1,1,6,6,1
80,1,1,6,1,2
142,1,1,1,2,2
440,1,1,6,1,1
510,1,1,6,1,2
60,1,1,5,1,2
90,1,1,5,1,1
62,1,1,1,1,1
83,2,1,6,1,1
86,2,1,6,1,2
91,2,1,6,1,2
67,2,1,6,1,1
62,2,4,6,1,1
72,1,1,6,1,2
129,1,1,6,2,2
95,1,1,6,1,2
98,1,1,4,1,1
79,1,1,6,1,2
108,1,1,6,1,1
110,1,1,1,1,1
155,1,1,1,1,2
64,2,4,6,1,1
53,2,4,6,1,2
122,2,1,6,1,2
47,2,1,6,8,1
39,2,1,6,1,2
46,2,4,6,1,1
54,2,4,6,1,2
63,1,1,1,1,1
76,1,1,6,1,1
195,2,5,6,1,2
216,2,1,6,1,2
20,1,1,6,1,2
10,1,1,6,1,1
85,2,1,6,1,1
36,1,1,5,1,1
109,1,1,6,1,2
37,2,5,6,1,1
35,2,5,6,1,2
69,9,5,6,8,1
65,9,1,6,8,2
123,1,4,6,6,2
133,1,1,6,1,1
229,2,1,6,8,2
174,2,1,4,8,1
41,1,1,6,1,1
38,1,1,6,9,2
60,1,1,6,1,1
100,1,3,6,1,2
93,1,3,6,1,2
177,1,5,6,6,1
178,1,5,6,6,2
183,1,5,6,6,2
203,2,1,6,5,1
187,2,1,6,8,2
95,1,5,6,6,1
114,1,5,6,6,2
55,1,1,4,1,1
65,1,1,4,1,2
326,1,1,1,1,2
266,1,1,1,1,1
564,1,1,1,1,2
237,1,1,1,1,2
146,1,4,6,6,2
190,1,1,6,9,2
484,1,5,2,6,2
83,1,1,1,1,2
66,1,1,1,1,1
71,1,1,6,8,1
66,1,1,6,8,2
109,1,5,6,6,1
79,1,1,5,1,1
67,1,1,5,1,2
27,1,1,6,1,2
35,1,1,6,1,1
127,1,1,6,1,1
92,11,1,6,8,2
82,1,1,6,1,1
92,2,1,6,1,1
92,2,1,6,1,1
174,1,1,6,2,1
154,2,4,6,8,2
67,2,5,6,1,1
75,2,5,6,1,1
38,1,1,6,1,1
108,1,1,5,1,1
142,1,1,5,1,2
198,1,1,2,2,1
11,1,1,5,1,2
268,1,1,5,1,2
299,1,1,5,1,1
82,1,4,6,6,2
63,1,1,6,1,1
50,2,1,6,1,1
56,2,1,6,1,2
64,2,1,6,1,1
64,1,1,6,1,2
92,1,4,6,6,2
136,1,4,6,6,1
103,11,4,6,8,1
131,11,5,6,8,1
126,2,5,6,8,1
32,1,1,4,1,2
29,1,1,4,1,1
85,1,1,4,1,1
64,1,1,4,1,2
65,1,4,6,6,1
90,1,4,6,6,2
56,2,5,1,8,1
39,2,5,4,8,2
58,2,5,4,8,2
56,1,5,1,2,1
55,1,5,1,2,2
93,1,4,6,6,2
15,1,1,2,1,1
105,1,1,1,1,2
105,1,1,1,1,1
66,1,1,6,9,1
43,1,1,6,9,1
63,2,1,6,1,2
89,1,1,6,9,2
64,1,4,6,6,1
92,1,5,6,1,2
17,1,1,1,1,1
270,11,4,5,8,1
257,8,4,5,8,2
307,8,3,5,8,2
79,1,1,5,1,1
72,1,1,5,1,2
36,1,1,4,1,1
197,1,4,6,6,2
89,1,4,6,6,2
57,1,4,6,6,1
91,1,1,6,9,2
91,1,1,6,1,1
85,1,1,6,1,1
107,11,4,6,1,2
80,1,1,1,1,2
87,1,1,6,1,1
120,1,3,6,6,1
165,1,1,6,6,1
108,1,4,6,6,2
54,1,4,6,1,1
76,1,1,6,1,1
101,1,1,5,2,1
63,1,5,6,6,2
136,1,1,6,1,1
106,1,1,6,1,2
319,1,1,4,1,2
280,1,1,4,1,1
83,1,1,6,1,1
73,1,1,6,1,2
101,1,4,6,6,1
114,1,5,6,6,2
88,1,4,6,6,2
63,2,4,6,1,1
56,2,4,6,1,1
57,2,1,6,1,1
58,2,1,6,1,2
88,1,1,5,1,1
72,1,1,1,1,1
169,1,1,6,2,2
112,1,1,6,6,1
138,1,4,6,6,1
60,1,1,6,1,2
60,2,1,6,1,1
66,2,3,6,1,2
85,2,1,6,1,1
85,2,1,6,1,1
48,2,4,6,1,2
52,1,1,6,1,1
63,2,4,6,8,1
63,2,4,6,8,2
105,2,5,6,8,2
42,1,1,5,1,2
61,2,1,6,1,1
62,2,1,6,1,2
72,2,1,6,1,2
99,1,1,4,3,2
192,1,1,4,1,1
227,1,1,6,2,2
111,2,5,6,1,2
162,2,5,6,1,1
94,1,4,6,6,1
88,1,4,6,6,2
76,2,1,6,1,1
69,1,5,5,1,1
71,2,5,6,1,1
60,2,1,6,1,2
139,1,1,6,1,2
121,1,5,6,1,1
81,1,4,6,1,1
96,2,4,6,1,1
100,2,1,6,1,2
47,1,1,1,2,2
142,1,1,4,1,1
38,1,1,6,1,1
69,1,4,6,6,2
44,1,1,6,2,2
32,1,5,6,6,2
84,1,1,4,9,2
108,1,1,4,1,1
256,2,1,4,9,1
185,2,1,6,8,1
240,11,1,6,8,1
247,1,1,6,6,2
300,1,1,6,2,1
65,1,1,6,1,1
72,2,1,6,8,2
100,1,4,4,6,2
53,1,1,1,1,1
51,1,1,6,1,1
89,1,1,5,1,2
103,1,1,5,1,1
17,8,1,6,1,2
68,1,5,6,6,1
68,1,5,6,6,2
90,1,4,6,6,1
63,1,4,6,6,2
124,1,1,4,1,2
147,1,1,6,1,1
198,2,5,6,8,1
60,1,1,6,1,1
83,2,5,6,1,1
111,2,1,6,1,1
92,2,1,6,1,1
66,1,1,6,1,2
166,1,1,5,1,2
145,1,1,5,1,2
115,2,1,6,6,2
95,1,4,6,6,1
140,1,4,6,6,1
154,1,3,2,1,2
53,1,1,6,1,1
62,1,1,6,1,2
45,1,1,1,1,2
273,1,1,1,1,2
120,1,1,5,2,2
193,1,1,5,2,1
151,2,5,6,1,1
52,1,1,6,1,1
59,1,1,6,1,2
54,1,1,4,1,1
96,1,1,4,1,2
183,2,5,6,1,1
94,1,4,6,2,1
138,1,4,6,2,1
66,1,1,6,6,2
29,1,1,6,1,1
24,1,1,6,1,2
46,1,1,6,1,1
69,24,1,6,9,1
91,1,1,6,1,2
55,2,5,6,1,1
56,2,4,6,1,1
53,2,1,6,8,1
59,2,1,6,1,2
61,2,5,6,1,1
64,1,1,6,1,2
71,1,1,6,1,1
64,1,1,6,1,1
74,2,1,6,1,2
86,1,1,6,1,1
101,1,1,6,1,1
138,1,1,6,1,2
53,1,1,6,1,1
53,1,1,6,1,2
204,1,1,6,1,2
357,2,1,6,1,2
27,1,3,1,1,2
29,1,1,1,1,1
82,1,1,6,1,2
98,1,1,6,1,2
32,1,1,1,1,2
41,1,4,1,2,2
38,2,5,6,8,1
46,1,1,6,1,2
82,1,1,6,1,2
132,1,1,6,1,2
131,1,1,6,9,2
104,1,1,6,9,2
71,1,1,4,1,1
76,1,1,4,1,1
55,1,1,4,1,1
67,1,1,4,1,1
173,1,5,1,6,2
50,1,1,6,1,1
13,1,1,1,1,2
54,1,1,6,1,2
89,1,1,1,1,1
65,1,4,6,9,1
42,2,4,6,8,2
25,1,1,1,2,1
91,2,5,6,8,1
89,2,5,6,8,1
81,2,5,6,8,2
231,1,4,5,2,2
185,1,1,6,1,1
148,1,1,6,1,2
84,1,1,1,1,2
126,1,1,1,1,1
85,2,4,6,1,1
173,2,4,6,1,2
98,1,1,6,9,1
53,2,4,6,8,1
69,2,4,6,8,2
81,2,1,6,8,1
132,1,4,6,6,1
139,1,4,6,6,2
67,1,1,6,1,2
99,4,1,6,1,2
109,1,1,6,1,1
16,1,1,6,3,1
19,1,1,4,3,1
33,1,1,4,1,1
43,1,1,4,1,1
87,1,1,6,1,1
102,1,1,6,1,2
139,1,1,6,6,1
292,2,1,6,1,1
111,1,1,2,1,2
86,1,1,2,1,1
94,1,4,6,6,2
135,1,1,4,1,2
130,1,1,4,1,1
56,1,1,6,3,2
49,1,1,6,1,1
35,1,1,1,1,1
168,2,1,4,1,1
487,1,5,6,6,2
364,1,1,6,1,1
66,2,1,6,1,2
43,1,1,6,1,2
37,1,1,6,1,1
60,1,1,1,2,1
60,1,1,1,2,1
118,1,1,6,1,1
85,1,1,6,1,1
68,1,1,6,1,2
63,1,1,6,1,1
106,2,4,4,1,1
102,2,5,4,1,2
161,2,1,4,1,2
72,2,1,6,1,1
76,1,1,6,2,1
140,1,1,1,2,2
149,1,1,1,2,1
242,11,5,1,8,2
54,1,1,6,1,1
58,1,1,6,1,2
47,1,1,6,1,1
64,2,1,6,8,1
77,1,1,6,6,2
134,2,4,5,8,1
170,2,5,5,8,2
22,1,1,6,1,1
68,1,1,6,1,2
63,1,1,6,1,1
65,1,1,6,1,2
67,1,1,1,1,2
221,1,1,1,2,1
69,1,1,6,1,2
71,1,1,6,1,1
201,1,1,5,1,2
167,1,1,5,1,1
333,1,1,5,1,2
61,1,5,6,6,2
48,1,5,6,6,1
476,2,5,6,1,1
71,1,1,6,2,1
60,1,4,6,6,2
79,1,4,6,6,2
66,1,1,4,1,1
40,1,1,6,1,1
67,1,1,6,1,1
56,1,4,6,1,2
42,1,1,1,2,1
165,1,1,6,1,2
68,1,1,6,1,2
65,1,1,6,1,1
24,1,1,5,2,1
70,1,1,6,1,2
125,2,1,4,9,2
59,4,4,6,1,2
102,1,4,6,1,1
30,16,4,6,1,1
31,2,1,6,1,2
99,1,1,6,1,1
95,1,1,6,1,2
55,2,4,6,1,1
57,2,4,6,1,2
86,2,1,6,1,1
107,2,1,6,8,2
158,2,4,6,8,1
59,2,5,6,1,1
89,2,5,6,1,2
82,1,4,6,6,2
139,1,1,2,1,1
158,1,4,2,6,2
35,1,1,5,1,1
39,1,1,5,1,2
27,1,1,5,1,2
40,1,1,6,1,1
40,11,5,6,1,2
47,11,1,6,1,1
48,2,1,6,1,1
163,1,1,1,1,1
59,1,4,6,6,1
72,1,1,1,1,2
314,1,1,6,1,2
75,1,4,6,6,1
73,1,4,6,6,2
88,1,1,6,6,2
115,1,1,6,6,1
159,1,1,6,1,1
55,24,1,6,1,1
41,2,4,6,1,1
57,1,1,6,1,1
56,1,1,6,1,2
66,1,1,6,1,1
130,11,5,6,8,2
164,11,5,6,8,1
65,1,1,6,1,1
72,1,1,6,1,2
53,1,1,6,1,1
257,1,1,6,1,2
242,1,1,6,1,1
91,1,1,6,2,2
130,1,1,6,2,1
39,1,4,6,6,1
56,1,1,6,1,1
76,1,1,5,1,2
97,1,1,5,1,1
418,1,1,1,1,2
177,2,1,6,1,1
43,2,1,6,1,2
59,2,1,6,1,1
60,2,1,6,8,2
61,2,4,6,8,1
63,2,1,6,8,2
75,2,1,6,8,1
79,1,1,6,1,1
51,1,5,6,6,2
42,1,5,6,6,1
65,2,1,6,1,1
111,2,5,6,8,1
142,2,5,6,8,1
98,2,1,6,8,2
123,1,1,6,1,1
51,1,1,6,1,1
42,1,1,6,1,1
64,1,1,6,1,2
54,1,1,1,1,2
106,1,1,6,1,2
187,1,1,1,1,2
146,1,1,6,6,1
145,1,1,6,6,2
55,2,1,6,8,2
110,1,4,6,1,2
84,1,1,1,2,1
252,1,1,1,2,1
163,1,1,1,2,2
56,1,5,6,1,1
69,2,1,6,8,2
344,1,1,4,1,1
54,1,1,6,1,2
118,1,1,6,1,1
103,1,1,4,1,1
96,1,1,4,1,2
113,1,1,6,1,2
117,1,1,6,1,1
109,2,1,6,1,2
104,1,1,6,1,1
55,1,1,6,1,1
116,1,1,5,1,1
110,1,1,5,1,2
66,2,5,6,8,1
68,2,5,6,8,2
101,2,1,6,8,1
69,1,1,6,9,2
70,1,4,6,6,2
61,1,1,6,1,1
94,2,1,6,8,1
93,1,4,6,6,1
95,1,1,6,6,1
73,1,1,6,6,1
110,1,1,6,1,2
50,1,1,1,2,2
77,1,1,6,7,1
72,2,1,6,8,2
290,2,1,6,1,1
241,2,1,6,1,2
248,2,1,6,1,2
245,2,1,6,1,1
88,2,1,6,9,2
133,2,4,6,9,1
127,1,4,6,6,1
145,2,1,6,1,1
186,2,1,6,1,1
204,2,4,6,1,2
170,1,1,6,1,1
149,1,1,6,9,1
95,1,1,1,1,2
221,1,5,1,1,1
52,1,3,6,1,1
333,1,1,6,1,1
329,2,4,6,1,2
63,1,1,6,6,1
44,24,1,6,1,1
47,1,5,6,6,1
209,1,1,6,1,2
151,1,1,1,1,1
166,1,1,6,1,2
80,1,5,4,6,1
115,2,4,6,1,2
96,2,4,6,1,1
110,2,1,6,1,1
88,1,1,1,1,1
204,1,1,6,1,1
222,1,1,6,1,2
103,2,4,6,8,2
115,2,1,6,8,2
108,2,1,6,8,1
35,2,5,6,8,2
401,1,1,6,1,2
222,1,1,6,2,2
68,1,3,6,1,1
56,1,1,4,1,1
54,1,1,4,1,2
78,1,1,4,1,1
280,1,1,2,1,2
24,1,1,1,1,2
65,1,1,6,1,1
61,1,1,6,1,2
107,4,4,6,1,1
109,4,1,6,1,2
75,1,1,6,1,2
100,1,1,6,1,1
81,1,1,6,1,2
80,1,1,6,1,2
69,1,4,6,6,1
93,1,5,6,6,2
11,1,1,4,3,1
65,2,4,6,8,1
39,1,1,6,1,1
41,1,1,6,1,2
146,1,1,4,1,1
112,1,1,4,1,2
32,1,1,6,9,2
76,1,1,1,2,2
120,1,4,6,6,1
28,1,1,1,1,1
35,2,1,6,8,2
59,2,1,6,8,1
59,2,1,6,8,2
83,1,1,6,1,1
61,1,1,6,1,1
68,1,1,6,1,2
135,2,5,6,1,2
136,2,5,6,1,1
60,1,1,4,1,2
46,1,1,4,1,1
81,1,1,6,1,1
118,1,1,6,1,1
65,7,1,6,1,2
76,1,1,4,3,2
68,1,5,6,6,1
56,1,5,6,6,2
61,1,1,6,1,1
96,1,1,6,1,1
107,2,5,6,1,1
94,2,5,6,1,2
50,1,1,6,1,2
63,2,4,6,9,1
66,2,1,6,9,2
56,2,1,6,9,1
84,1,4,6,9,2
67,1,1,6,1,1
65,1,1,6,1,2
124,1,1,1,1,1
113,1,1,1,1,2
75,1,1,1,1,1
128,2,5,6,8,1
146,2,5,6,1,1
163,2,5,6,1,1
72,1,4,6,6,1
62,1,4,6,6,2
94,1,4,6,6,2
58,1,1,6,1,1
35,1,1,6,1,1
59,1,1,6,1,1
54,1,1,6,1,2
44,1,1,5,1,1
66,2,1,6,1,2
64,1,1,6,1,1
67,1,1,6,1,1
80,1,1,6,1,2
88,2,1,6,1,2
117,1,1,6,6,2
137,1,1,6,9,1
126,1,1,6,2,2
114,1,1,6,2,1
189,19,5,6,1,1
68,1,1,6,1,1
67,1,1,1,1,2
80,1,1,1,1,1
78,2,5,6,8,2
100,2,5,6,8,1
101,2,5,6,8,1
109,11,5,6,8,1
95,2,5,6,8,2
69,1,1,6,9,2
427,1,1,6,1,2
276,1,1,6,1,1
205,1,1,6,1,2
298,1,1,6,1,2
195,1,1,6,1,1
89,1,3,6,9,2
156,1,1,6,2,1
162,1,4,6,6,2
181,1,5,6,6,1
77,1,1,6,1,1
62,1,1,6,1,2
193,2,4,6,1,1
194,1,1,6,1,1
240,1,4,6,6,1
159,1,4,6,6,1
255,1,4,6,6,1
101,1,1,4,2,1
78,1,1,6,1,1
61,1,1,6,1,1
65,1,4,6,1,2
108,1,5,1,2,1
164,1,4,6,6,1
119,1,4,6,6,2
46,1,1,4,1,1
80,1,1,4,1,1
79,1,1,4,1,1
80,1,1,4,1,1
94,1,1,6,1,2
100,1,1,6,1,1
64,1,5,6,6,1
57,1,3,6,6,1
77,2,4,6,8,2
122,1,1,1,1,1
109,1,1,1,1,2
100,1,1,1,1,2
72,1,1,6,1,1
59,1,1,6,1,2
84,1,1,4,1,1
106,1,4,6,1,1
102,1,4,6,1,2
95,1,1,6,1,1
123,1,1,6,1,2
114,1,5,6,6,1
160,1,5,6,6,1
102,2,1,4,1,1
57,1,1,5,1,1
97,1,1,6,1,1
177,2,1,4,8,2
79,1,1,6,2,1
36,1,1,4,3,2
41,1,3,4,9,1
37,2,1,4,1,2
27,1,1,6,6,1
121,1,4,6,1,1
79,1,1,1,1,2
150,1,1,6,1,2
78,1,1,1,1,1
67,1,1,6,2,2
43,1,1,1,1,1
91,1,1,6,1,1
242,1,1,6,1,2
193,1,1,6,1,1
213,1,1,6,1,2
65,2,4,6,1,1
88,1,1,6,6,2
211,1,1,6,1,1
64,1,1,6,1,1
56,2,1,6,1,2
258,2,1,6,2,2
151,1,1,6,1,2
56,2,1,6,1,1
55,2,1,6,1,2
76,2,1,6,1,1
69,16,1,6,2,2
25,1,4,6,9,2
289,1,1,5,1,1
46,1,1,1,1,1
11,1,1,1,1,1
17,1,1,1,1,2
16,1,1,1,2,2
203,2,5,6,8,1
189,2,1,6,8,2
99,1,1,4,1,2
162,1,1,4,1,1
103,1,1,6,1,2
53,1,4,6,1,2
65,1,5,6,6,1
141,1,1,5,1,2
115,2,5,6,1,1
90,2,5,6,1,2
89,2,1,6,1,1
194,1,1,2,1,1
116,9,1,2,9,2
68,1,1,1,1,2
47,1,1,1,1,1
54,2,1,6,1,1
57,1,1,6,1,1
56,2,1,6,8,2
49,1,4,6,6,2
61,1,1,6,9,2
62,1,1,6,9,1
56,1,1,6,1,2
123,1,1,6,1,1
61,1,4,6,6,1
112,1,5,6,6,2
89,1,4,6,1,1
110,1,1,6,1,2
63,2,1,6,1,2
98,2,1,6,1,2
69,7,4,6,8,1
71,7,4,6,8,2
108,7,4,6,8,1
117,7,1,6,8,2
106,7,5,6,8,1
95,7,5,6,8,2
70,1,1,4,1,1
50,1,1,6,1,2
70,1,1,6,1,1
72,1,1,6,1,1
63,1,1,6,1,1
70,2,1,6,1,2
67,1,1,6,1,1
141,2,1,6,1,1
215,2,1,6,1,1
60,1,1,6,1,1
19,1,1,6,1,2
19,1,1,5,1,1
17,1,1,5,1,2
25,1,1,2,9,1
46,1,1,4,1,2
53,1,1,4,1,1
148,1,1,5,1,1
49,2,1,4,1,1
39,2,1,4,9,2
79,1,1,4,1,2
94,1,1,6,1,1
141,1,1,6,6,2
203,2,3,6,8,1
245,2,1,6,8,2
149,1,1,5,1,2
71,1,1,6,1,1
65,2,1,6,9,1
138,2,4,6,8,1
170,2,1,6,8,2
115,2,1,6,8,1
183,2,4,6,8,2
65,1,4,6,1,1
64,1,4,6,1,2
135,1,1,6,1,2
56,1,1,6,1,1
74,1,1,6,1,1
77,1,4,6,1,1
52,1,1,6,1,1
63,1,5,6,1,1
108,1,5,6,6,2
208,2,1,6,1,1
285,2,1,6,1,2
63,24,1,4,8,2
53,24,1,4,8,1
76,1,1,6,1,1
156,1,1,6,6,1
68,1,1,6,1,1
60,2,1,6,1,1
40,2,4,6,1,1
58,1,1,6,1,2
80,1,1,6,1,2
87,2,5,6,8,1
127,1,5,6,6,1
25,1,1,2,1,1
25,1,1,2,9,2
101,1,1,6,9,2
111,2,5,6,8,1
53,1,4,1,6,1
67,1,1,6,1,2
53,1,1,6,1,1
67,1,1,6,9,2
121,1,1,6,1,1
126,1,1,6,1,1
54,1,1,6,1,2
53,1,1,6,1,1
102,1,1,4,1,1
56,1,1,6,1,2
94,1,1,6,1,2
322,1,1,4,1,1
86,1,1,6,1,1
152,1,1,4,1,1
285,1,1,4,2,1
71,1,1,6,2,2
57,1,1,5,1,2
109,1,1,4,1,1
70,1,1,6,1,1
63,2,1,6,1,2
167,1,1,5,1,2
81,1,1,6,6,1
84,1,3,6,6,2
41,1,4,6,6,2
53,1,4,6,6,1
50,1,4,6,6,1
36,2,1,6,8,2
36,2,1,6,8,1
96,1,5,5,2,2
198,1,4,4,8,2
109,1,1,6,1,1
86,1,1,5,2,1
76,2,1,4,1,2
73,2,1,6,1,1
61,2,1,6,1,2
73,1,1,4,1,2
108,1,4,6,6,2
75,1,4,6,6,1
37,1,1,6,1,2
40,1,1,6,1,1
71,1,4,6,6,2
139,1,1,1,1,2
54,1,1,6,1,1
43,1,1,6,1,2
27,1,1,6,1,1
68,1,1,6,1,1
113,1,1,6,1,1
136,2,1,6,1,2
48,1,1,5,2,1
107,2,5,6,1,2
28,1,1,2,1,2
53,1,1,6,1,1
145,23,1,6,1,2
291,1,1,6,2,1
121,1,4,6,6,2
34,1,1,6,1,1
38,1,1,6,1,1
50,1,1,6,1,1
51,1,1,6,1,2
55,1,1,6,1,1
148,1,1,6,1,2
85,1,1,1,2,1
128,1,1,1,2,2
128,1,1,1,2,2
108,2,1,6,1,2
94,1,1,4,1,1
64,1,4,6,6,1
54,1,1,6,1,2
80,1,1,6,1,1
160,1,1,4,3,2
124,1,1,1,2,1
100,2,4,6,1,1
61,1,1,6,1,1
52,1,1,6,1,1
52,1,1,6,1,1
49,1,1,6,1,2
57,1,4,6,6,1
92,1,1,6,6,2
42,1,4,6,6,2
35,1,4,6,6,1
120,1,1,4,1,2
144,2,1,4,1,2
88,4,1,6,8,1
53,1,1,6,1,1
62,1,1,6,1,2
297,2,1,4,8,1
106,2,1,4,8,1
426,2,1,4,8,2
78,1,1,6,1,1
82,1,1,6,1,2
191,1,1,1,1,1
264,1,1,1,1,2
129,1,4,6,6,2
78,1,5,6,1,1
70,1,5,6,6,2
99,1,1,1,1,1
203,2,1,6,1,1
216,2,1,6,1,2
325,2,1,6,1,1
185,2,1,6,1,1
58,1,1,6,1,1
27,1,1,2,1,2
51,2,5,6,1,1
92,2,5,6,1,1
314,1,1,6,1,1
53,1,4,6,6,1
41,1,4,6,6,2
27,1,1,6,6,1
118,1,5,6,1,1
177,1,4,6,6,2
204,1,4,6,6,1
276,1,4,6,6,1
8,1,1,6,1,2
81,1,1,1,2,2
112,2,1,6,1,1
70,1,1,6,1,1
82,1,1,6,9,2
40,1,1,6,6,2
36,1,1,6,6,1
55,1,1,6,6,1
76,1,1,6,2,2
87,1,1,6,2,1
68,1,1,6,1,1
70,1,1,6,1,2
117,1,1,6,2,2
55,1,1,6,6,2
65,1,1,6,1,1
269,2,1,4,1,1
397,1,1,4,1,1
91,1,1,6,1,1
285,24,4,6,1,1
270,1,1,6,1,2
329,24,1,6,1,2
343,1,1,6,1,1
84,1,1,6,6,1
15,1,1,1,2,1
105,1,4,6,1,2
164,1,1,6,1,2
78,1,1,6,9,1
28,1,1,6,1,1
105,1,1,6,1,1
64,1,1,6,1,2
65,1,1,6,1,1
54,1,1,6,1,2
70,2,5,6,1,1
55,1,1,4,1,2
59,1,1,4,1,2
99,2,1,6,1,1
125,2,1,6,1,2
72,1,3,6,1,1
59,1,1,6,1,2
188,2,1,4,1,2
109,1,1,6,1,2
57,1,1,6,1,1
54,1,1,6,1,2
66,1,1,6,1,1
69,1,1,6,1,2
241,1,1,1,1,1
180,2,5,4,8,2
243,2,4,4,8,1
66,11,4,6,8,2
108,1,1,4,1,1
77,1,5,6,1,1
133,1,4,6,6,1
106,1,1,6,6,2
522,1,1,6,1,1
612,1,1,6,1,1
465,1,1,6,9,1
612,1,1,6,1,1
98,1,4,6,6,1
101,2,1,4,1,1
46,1,1,1,1,1
54,1,1,1,1,2
217,1,1,6,1,1
208,1,1,6,1,2
26,1,1,6,1,2
161,2,5,6,8,1
199,2,5,6,8,2
233,2,5,6,8,1
90,24,1,6,1,1
81,2,1,6,1,1
55,2,1,6,1,2
21,1,1,6,1,2
46,1,1,4,1,1
44,1,1,4,1,2
73,2,4,6,8,2
102,2,5,6,8,1
42,1,5,6,6,2
47,1,1,6,6,2
89,2,1,6,1,1
363,2,1,6,1,1
59,1,3,6,1,1
133,11,5,6,8,1
138,11,5,6,8,2
182,11,1,6,8,1
28,2,1,6,1,2
46,1,1,4,1,1
433,1,1,4,1,1
72,1,1,6,1,1
58,1,4,6,6,2
34,1,1,2,4,1
122,1,1,1,1,2
84,1,1,6,1,1
103,1,1,6,1,1
105,1,1,6,1,2
93,16,4,6,8,1
65,1,1,6,1,2
60,1,5,6,1,1
36,1,1,6,1,1
37,1,1,6,1,2
287,1,1,2,1,1
346,1,1,2,1,2
394,1,1,2,1,2
63,1,1,1,1,2
73,1,1,1,1,1
58,1,1,1,1,2
87,1,5,6,1,2
295,1,1,5,2,2
144,1,1,1,1,2
47,1,1,6,1,2
80,1,1,4,1,1
38,1,1,4,1,2
88,1,1,6,1,1
78,1,1,4,1,1
77,1,1,4,1,2
97,1,1,4,1,1
112,1,1,6,1,2
148,1,1,4,1,2
167,1,1,4,1,1
98,1,1,6,6,1
11,1,1,1,1,1
74,1,4,6,6,2
74,1,4,6,6,1
55,2,1,6,1,1
22,1,1,5,1,1
32,1,1,5,3,2
62,1,5,6,1,1
60,1,1,6,1,2
62,2,5,6,8,2
66,2,5,6,8,1
103,24,1,4,1,2
11,1,1,1,1,1
124,1,1,6,1,1
125,1,1,6,1,1
186,1,1,5,1,1
63,1,1,6,1,2
124,1,4,6,6,2
118,1,4,6,6,1
99,1,1,6,1,1
122,1,1,6,1,1
73,1,1,6,1,2
121,1,1,6,1,1
60,1,1,6,1,2
67,1,1,1,1,1
178,1,4,4,6,1
138,1,4,4,6,2
140,1,1,6,1,2
95,2,4,6,8,1
56,2,4,6,8,2
59,2,5,6,8,2
76,2,5,6,1,1
78,2,5,6,1,2
94,2,5,6,1,1
102,1,1,6,1,2
196,1,1,6,1,1
249,23,4,6,1,2
58,1,1,6,6,1
48,1,1,6,6,2
59,1,1,6,1,1
33,1,1,1,1,1
36,1,1,1,1,2
41,1,1,6,1,1
39,1,1,6,1,2
37,1,1,6,1,1
111,2,4,6,2,2
72,2,1,6,1,2
224,7,5,6,1,1
163,1,1,6,1,2
66,2,1,6,1,1
88,2,1,6,1,2
108,2,4,6,1,1
40,2,1,4,8,1
97,1,1,4,1,2
241,2,4,4,8,2
225,2,1,4,8,1
98,1,1,6,1,1
110,1,1,6,1,2
45,1,3,6,1,2
109,1,1,6,1,1
138,2,1,6,1,2
59,1,1,4,1,2
81,1,1,1,1,1
32,1,1,6,1,1
36,2,1,6,8,2
13,1,1,6,1,2
92,11,1,6,8,2
62,1,1,6,1,2
91,1,1,1,2,1
191,1,1,1,2,1
105,1,1,6,1,1
71,1,1,4,1,1
197,1,1,6,2,1
48,1,1,6,1,1
93,1,1,5,1,2
162,1,2,6,7,1
165,1,2,6,7,2
252,1,2,6,7,1
317,1,1,6,7,2
149,1,4,6,6,1
153,1,4,6,6,2
57,1,1,4,1,2
104,1,4,6,6,2
104,1,4,6,6,1
56,1,4,6,1,1
92,1,1,4,9,2
166,24,1,6,8,1
162,2,1,6,8,1
174,5,1,4,9,1
140,1,5,4,1,2
76,1,1,4,1,1
61,1,1,4,1,2
12,1,1,4,1,2
32,1,1,6,1,2
44,1,1,6,1,1
107,1,1,4,1,1
162,2,1,4,9,1
132,1,1,6,1,1
118,1,1,6,1,2
42,14,4,6,1,2
135,1,5,6,6,1
113,1,5,6,6,2
109,2,1,4,1,2
