PWGTP,RAC1P,POWSP,HISP,SEX,CIT,WAOB,COW,SOCP
52,1,12,1,1,1,1,1,151143
184,1,12,16,1,4,3,1,15113X
75,1,9,1,2,1,1,1,15113X
130,1,48,1,2,1,1,5,151142
105,1,34,1,1,1,1,1,172070
35,1,55,1,1,1,1,1,15113X
48,1,11,19,2,4,3,1,15113X
324,1,4,1,1,1,1,1,151150
70,1,37,1,1,1,1,2,151142
97,1,48,1,2,1,1,1,151199
74,6,15,1,1,4,4,5,172070
110,1,48,1,1,1,1,3,151150
76,1,4,19,1,5,5,1,151142
67,1,6,1,1,1,1,1,151131
44,1,45,1,1,1,1,7,151199
13,1,26,1,1,1,1,1,172070
30,1,20,1,1,1,1,1,151199
85,1,36,1,2,4,5,1,151142
110,1,6,1,1,1,1,1,15113X
82,6,11,1,2,4,4,7,15113X
65,6,24,1,2,1,1,1,15113X
111,1,36,1,1,1,1,1,151142
67,6,6,1,1,5,4,1,15113X
36,1,13,1,2,1,1,2,151199
101,1,26,1,2,1,1,1,15113X
32,3,49,1,1,1,1,1,151150
66,1,51,1,1,1,1,2,151143
17,6,48,1,1,4,4,1,15113X
160,6,20,1,1,4,4,1,151121
64,1,47,1,1,1,1,1,15113X
196,1,48,2,1,5,3,1,151143
93,1,13,1,1,1,1,1,151121
102,1,13,1,2,1,1,1,151121
125,1,39,1,1,1,1,1,151134
48,1,35,1,1,1,1,4,151121
40,1,12,1,1,1,1,1,151199
54,1,25,1,1,1,1,1,15113X
59,1,26,1,1,1,1,1,172070
99,1,36,1,1,1,1,2,15113X
102,6,34,1,1,5,4,1,15113X
51,6,17,1,1,5,4,1,15113X
90,6,17,1,2,5,4,1,15113X
125,1,29,1,2,1,1,1,151131
206,1,23,1,1,1,1,2,151150
114,2,48,1,1,4,6,1,151142
146,6,37,1,2,4,4,1,151199
155,6,37,1,1,4,4,1,151199
54,6,48,1,1,4,4,1,151131
70,6,36,1,1,4,4,5,151199
72,1,37,1,1,1,1,1,151121
105,6,33,1,1,4,4,1,151199
49,1,37,1,1,1,1,1,151150
43,1,8,1,1,1,1,1,151150
189,1,25,1,1,1,1,1,151199
286,1,6,1,1,1,1,1,151150
67,1,51,1,2,1,1,2,151199
79,1,51,1,1,1,1,1,151199
331,1,12,1,1,1,1,1,172070
66,6,17,1,2,4,4,1,15113X
106,6,17,1,1,4,4,1,15113X
52,9,32,1,1,1,1,1,15113X
51,6,6,1,2,1,1,1,151142
57,1,6,1,1,1,1,1,151121
82,1,25,1,1,1,1,1,15113X
59,1,6,1,1,5,4,1,151134
237,1,24,1,2,1,1,1,151199
215,1,26,1,2,5,7,1,151121
148,1,26,1,1,1,1,1,151121
55,1,49,1,1,1,1,5,151141
96,1,17,1,1,1,1,2,151199
54,1,51,1,1,1,1,1,151142
133,6,36,1,1,4,4,1,15113X
78,1,36,1,1,1,1,1,15113X
81,1,41,1,1,1,1,1,151131
89,1,29,1,1,1,1,1,151134
119,1,6,2,1,1,1,1,151150
340,1,12,3,1,1,1,1,151122
94,2,11,1,1,1,1,1,151121
145,1,41,1,2,1,1,4,151131
33,1,42,1,1,1,1,1,151142
220,1,48,2,1,1,1,3,151199
185,1,27,1,1,1,1,1,172070
69,1,51,1,1,1,1,1,151131
98,1,17,1,1,1,1,1,151150
25,1,6,1,1,1,1,6,151121
355,1,17,1,1,1,1,1,15113X
123,1,31,1,1,1,1,1,151150
247,1,19,1,2,3,4,1,15113X
64,6,6,1,1,4,4,1,15113X
