PWGTP,HISP,POWSP,RAC1P,WAOB,CIT,SEX,SOCP
89,1,24,1,1,1,2,151121
97,1,24,1,1,1,1,151150
105,1,6,6,4,4,1,15113X
218,1,38,1,1,1,1,151131
115,1,13,2,1,1,1,151142
86,1,36,1,1,1,1,151121
63,23,34,1,5,5,1,113021
52,1,37,2,1,1,1,151131
60,2,6,8,4,5,1,15113X
60,1,24,1,1,1,1,151121
55,1,6,1,1,1,2,151150
109,1,33,1,1,1,1,151142
74,1,12,1,1,1,1,113021
76,1,42,1,1,1,1,113021
122,1,26,1,1,1,1,151121
75,1,6,9,4,5,1,151142
182,1,48,1,1,1,1,151143
111,1,55,1,1,1,2,151199
59,1,6,1,5,3,1,151150
73,1,37,1,1,1,1,151121
81,1,45,1,1,1,1,151131
78,1,19,1,1,1,2,151199
65,1,36,1,1,1,1,151134
94,1,51,1,1,1,1,15113X
63,1,6,6,1,1,1,151150
74,1,25,1,1,1,2,151142
117,1,8,1,1,1,1,151150
20,1,13,1,1,1,1,151150
120,1,55,1,1,1,1,151143
217,1,13,1,1,1,1,151131
79,1,6,1,1,1,1,151131
90,1,6,1,7,3,1,151199
93,1,6,1,1,1,1,151121
116,1,47,1,1,1,1,113021
48,1,6,2,1,1,1,151131
81,1,22,6,4,3,2,151134
128,1,17,6,4,5,1,15113X
56,1,6,1,5,5,1,15113X
84,1,22,2,1,1,1,151150
63,1,17,1,1,1,1,113021
69,1,24,6,4,4,2,113021
92,1,9,1,1,1,1,151121
107,1,23,1,1,1,1,113021
77,1,51,1,1,1,1,151122
85,1,48,1,1,1,1,151142
85,1,1,1,1,1,1,15113X
73,1,6,1,1,1,1,151131
90,2,48,1,1,1,1,151150
134,1,31,1,1,1,2,113021
73,1,24,1,1,1,1,172061
68,1,37,1,1,1,1,15113X
112,1,6,2,1,1,1,151134
68,3,36,8,1,1,1,151134
49,1,6,9,1,1,1,113021
85,1,36,1,1,1,2,151134
74,1,48,1,1,1,1,15113X
77,1,51,1,6,4,2,151150
75,1,39,1,1,1,2,151150
65,1,12,6,4,5,1,151131
93,1,1,1,1,1,1,151150
78,1,51,1,1,1,1,15113X
98,2,48,1,1,1,2,151131
93,2,48,1,1,1,1,151131
116,1,42,1,1,1,2,151134
92,1,12,1,1,1,1,151134
97,4,12,1,3,4,2,151199
77,1,35,1,1,1,1,151199
81,1,34,2,6,5,2,151142
73,1,12,1,1,1,1,113021
53,1,37,1,1,1,1,151142
325,1,8,2,1,1,1,151150
57,1,8,1,1,1,1,151131
23,1,42,1,1,1,2,113021
19,1,26,1,1,1,2,151121
27,1,36,1,1,1,2,151121
75,1,12,6,4,5,1,151121
61,1,25,1,1,1,1,113021
145,1,42,1,5,4,1,15113X
56,1,21,1,1,1,1,151150
19,1,21,1,1,1,1,151134
62,1,25,1,1,1,1,15113X
20,1,53,1,1,1,1,15113X
159,1,24,2,1,1,1,151121
78,1,48,2,1,1,1,151199
64,1,34,1,5,5,1,151111
96,1,34,6,4,5,1,15113X
94,1,6,1,4,5,1,15113X
87,1,24,2,1,1,2,113021
66,1,4,1,1,1,1,151121
109,1,6,6,4,5,1,151121
64,1,48,6,1,1,1,151121
71,1,39,1,1,1,1,151199
81,1,23,1,1,1,1,113021
112,2,48,1,3,3,2,151131
80,1,6,1,5,4,1,15113X
96,1,49,1,1,1,1,151141
56,1,6,9,1,1,2,113021
79,1,34,1,1,1,1,151122
56,1,25,1,1,1,1,151131
104,1,6,1,1,1,1,151121
132,1,42,1,1,1,2,151150
89,1,36,2,3,4,1,15113X
70,1,26,1,1,1,1,151150
110,1,53,1,1,1,1,15113X
97,1,9,1,6,5,1,151121
94,1,13,1,1,1,1,113021
46,1,16,1,1,1,2,151141
105,1,18,1,1,1,2,151199
86,1,11,2,1,1,2,15113X
74,1,53,2,1,1,2,113021
100,1,53,1,1,1,1,15113X
176,1,17,1,1,1,1,151131
116,1,10,1,1,1,1,15113X
81,1,36,1,1,1,2,151121
65,1,8,1,1,1,1,151150
104,1,8,1,1,1,1,113021
103,1,33,1,1,1,1,113021
102,1,17,1,1,1,1,151150
80,1,36,1,1,1,1,113021
108,1,53,1,1,1,1,151134
88,1,24,1,1,1,2,151111
68,2,24,1,1,1,1,151199
78,1,36,1,1,1,2,15113X
60,1,48,1,1,1,1,15113X
76,1,51,2,3,4,1,151150
110,1,25,6,1,1,1,151121
51,1,45,1,1,1,2,15113X
76,1,6,1,1,1,2,151150
59,1,6,6,4,5,1,15113X
93,2,48,1,1,1,1,151131
50,1,26,1,1,1,1,113021
59,1,25,1,1,1,2,113021
99,1,48,1,1,1,2,151121
85,1,48,1,1,1,2,113021
72,1,13,1,1,1,1,151143
65,1,13,1,1,1,2,151121
84,1,48,1,1,1,2,151121
70,1,36,1,1,1,1,15113X
245,1,45,1,1,1,1,151199
257,1,39,6,4,5,1,15113X
81,1,48,1,1,1,1,151131
90,1,24,1,5,4,2,151131
56,1,12,1,1,1,1,113021
92,1,6,6,4,3,2,151121
62,1,13,9,1,1,1,151121
124,1,27,1,1,1,1,151131
82,1,37,1,1,1,2,113021
45,1,34,6,4,4,1,151121
76,1,4,1,1,1,2,151199
88,1,6,6,4,4,2,15113X
75,1,17,1,1,1,2,113021
70,1,6,1,1,1,2,151121
100,1,51,1,1,1,1,15113X
58,1,17,1,1,1,2,151121
111,1,29,1,1,1,1,151150
80,1,6,6,1,1,1,15113X
19,1,45,1,1,1,1,151150
244,1,12,1,1,1,1,151141
116,1,24,1,1,1,1,151131
59,1,49,1,1,1,2,151121
94,1,13,1,1,1,2,151131
89,1,26,1,5,4,1,151199
242,1,12,2,6,4,1,151142
76,1,6,1,4,4,1,15113X
269,1,48,1,1,1,1,113021
89,1,6,8,4,5,1,151121
68,1,36,6,4,5,1,15113X
51,1,13,1,5,3,1,113021
67,1,24,2,1,1,2,15113X
69,1,24,2,1,1,2,151150
109,1,19,1,1,1,1,151134
66,1,6,1,1,1,1,172061
105,1,25,1,1,1,2,113021
113,1,21,1,1,1,1,15113X
272,1,17,2,1,1,2,113021
96,1,51,1,1,1,1,15113X
161,1,34,6,4,4,1,113021
63,1,25,1,1,1,1,113021
86,1,24,1,1,1,1,151142
103,1,11,2,1,1,1,151150
77,1,39,1,1,1,1,151150
193,1,6,1,1,1,1,151143
72,1,26,1,1,1,1,151150
99,24,1,1,1,1,1,151122
123,1,36,1,1,1,2,151131
101,1,13,1,1,1,2,151199
159,1,6,1,1,1,1,15113X
92,1,13,1,1,1,1,15113X
110,1,42,1,1,1,1,15113X
94,1,10,6,4,4,1,15113X
87,1,6,1,7,3,1,113021
147,1,41,1,1,1,1,151121
69,1,20,1,1,1,1,151131
72,1,36,1,5,4,1,15113X
76,1,34,1,5,4,2,151131
68,1,47,1,1,1,1,151121
76,1,6,2,1,1,2,172061
100,1,27,2,1,1,1,15113X
97,1,18,1,1,1,1,151150
99,1,6,1,1,1,1,15113X
100,1,6,6,1,1,2,113021
66,1,25,1,1,1,2,151122
71,1,15,1,1,1,1,113021
151,1,42,1,1,1,1,151150
263,1,6,1,1,1,1,113021
118,1,45,1,1,1,1,113021
79,1,45,1,1,1,2,113021
77,1,34,6,4,5,1,15113X
61,1,6,6,1,1,1,15113X
125,1,4,1,1,1,1,151141
223,1,6,1,1,1,1,151150
180,1,36,6,4,5,1,151121
94,1,34,1,1,1,2,151150
50,1,17,1,1,1,1,113021
47,2,17,1,1,1,2,15113X
108,1,49,1,1,1,1,151131
100,1,42,1,1,1,1,113021
73,1,32,1,1,1,1,151150
60,1,51,1,1,1,2,151121
79,1,6,9,4,4,1,113021
48,1,23,1,1,1,2,151131
79,1,24,1,1,1,1,113021
234,1,48,1,1,1,2,151121
77,1,36,1,1,1,1,151121
87,1,17,1,1,1,1,151121
86,1,6,1,1,1,2,15113X
91,1,36,1,5,4,1,151131
71,1,36,1,5,4,2,151131
86,1,34,1,1,1,2,151150
94,1,48,1,1,1,1,151142
77,1,39,1,1,1,1,151121
131,1,20,1,1,1,1,151142
67,1,42,1,1,1,1,15113X
68,1,36,6,4,4,2,151199
49,1,4,1,1,1,1,151143
47,1,4,1,1,1,2,151121
89,1,51,1,1,1,2,15113X
105,1,55,1,1,1,1,113021
143,1,11,1,1,1,1,151121
67,1,51,2,3,4,2,151199
85,1,18,1,1,1,2,151121
99,1,6,6,4,4,1,151141
67,1,53,6,4,4,1,15113X
72,1,49,1,1,1,1,151122
81,1,35,1,1,1,2,15113X
109,1,24,1,1,1,1,151131
35,1,13,1,1,1,1,151131
181,1,27,1,1,1,2,113021
70,1,25,1,5,4,1,151131
147,19,34,1,3,4,1,15113X
87,1,48,1,1,1,1,151150
84,1,48,1,1,1,1,151122
75,1,12,1,1,1,1,151142
70,1,34,1,1,1,2,151199
51,11,32,8,3,4,1,151131
71,1,48,1,4,4,1,151143
67,2,48,1,1,1,1,151121
103,1,33,1,1,1,1,172061
70,1,13,6,4,4,1,15113X
45,1,42,1,1,1,1,151121
83,1,49,1,1,1,1,151131
36,1,27,1,1,1,2,151141
73,1,49,1,1,1,1,151131
74,1,24,1,1,1,2,15113X
73,1,34,6,4,4,1,151199
62,1,16,1,1,1,1,151122
75,1,6,1,1,1,1,151134
55,1,9,1,1,1,2,113021
203,1,6,1,1,1,1,113021
73,1,39,1,1,1,1,151199
85,2,32,8,1,1,2,151134
78,1,24,2,1,1,2,113021
107,1,55,1,1,1,2,15113X
200,1,36,6,4,5,2,151199
359,1,27,1,1,1,1,151121
215,1,27,1,1,1,1,151131
68,1,51,1,1,1,1,15113X
108,1,44,1,1,1,2,113021
118,1,42,1,1,1,2,113021
106,2,11,1,1,1,2,151131
47,1,4,1,1,1,1,15113X
106,1,39,1,5,5,1,151142
74,1,34,1,1,1,2,151199
86,1,25,1,1,1,1,15113X
200,1,6,1,1,1,1,113021
68,1,6,1,1,1,1,151150
62,1,22,1,1,1,2,151150
121,1,27,1,1,1,1,113021
71,1,48,6,4,4,1,151199
64,1,48,6,4,4,2,15113X
75,1,36,6,4,4,1,113021
232,1,11,1,1,1,1,151122
91,1,25,1,1,1,1,151142
80,1,6,2,1,1,2,151150
74,1,37,1,1,1,2,113021
248,1,51,6,4,4,1,151143
234,1,51,1,1,1,1,151143
190,1,27,6,4,5,1,113021
147,1,36,8,3,5,1,113021
69,1,48,1,1,1,1,151131
11,3,36,9,1,1,1,151199
71,1,11,1,1,1,1,15113X
14,1,47,1,1,1,1,151134
72,1,6,6,4,4,1,151131
140,1,9,2,1,1,2,151199
146,1,42,6,4,5,1,151121
50,1,6,1,1,1,1,151121
108,1,17,1,5,4,1,113021
60,1,51,1,1,1,1,15113X
71,1,51,1,1,1,1,151199
130,1,12,1,1,1,1,151150
149,1,19,1,1,1,2,151121
49,1,36,1,1,1,1,113021
116,1,55,1,1,1,1,151150
285,1,48,2,1,1,2,151122
36,1,48,1,1,1,2,113021
83,1,36,1,1,1,1,151150
104,1,42,1,1,1,1,151142
73,1,34,1,1,1,1,151150
93,1,53,6,4,5,1,15113X
82,1,37,1,1,1,2,15113X
87,1,37,1,1,1,1,151121
144,1,25,2,1,1,1,151121
78,1,22,1,1,1,1,151150
95,1,37,1,1,1,1,151142
88,1,32,1,1,1,1,151131
90,1,55,1,1,1,1,15113X
26,1,9,1,1,1,2,151121
93,1,51,1,1,1,1,151199
65,1,8,1,1,1,1,113021
64,1,8,1,1,1,2,113021
90,1,49,1,1,1,1,113021
60,1,36,1,1,1,1,151121
23,1,17,1,1,1,1,15113X
105,1,49,1,1,1,1,15113X
90,1,6,1,1,1,1,151150
106,1,33,1,4,4,1,151150
116,3,8,8,2,2,1,15113X
63,1,6,6,4,4,1,15113X
61,1,13,6,4,5,1,113021
88,1,53,6,4,5,1,15113X
59,1,24,9,1,1,2,151150
111,1,1,6,4,5,1,15113X
265,1,1,6,4,5,2,151141
84,1,4,1,1,1,1,151131
115,1,39,1,1,1,1,151199
242,1,48,1,1,1,1,172061
62,1,26,6,4,4,2,151131
76,1,17,6,4,4,1,151142
98,1,45,1,1,1,1,151131
71,1,39,6,4,4,2,15113X
79,1,42,1,1,1,1,151199
63,1,53,1,1,1,1,151121
292,1,37,1,1,1,1,151199
66,1,18,1,1,1,1,151143
93,1,37,1,1,1,2,15113X
59,1,11,1,5,3,1,151121
72,1,13,1,1,1,2,151150
89,1,48,1,1,1,2,113021
82,1,51,1,1,1,1,151150
30,1,42,1,1,1,1,15113X
132,1,20,1,1,1,2,113021
70,1,9,1,1,1,2,113021
192,1,8,1,1,1,1,151150
34,1,10,1,1,1,1,113021
67,1,6,6,1,1,1,15113X
67,1,6,6,4,4,2,15113X
87,1,25,1,1,1,1,151121
71,1,48,1,1,1,1,15113X
10,1,21,1,1,1,1,151131
80,2,48,1,1,1,1,151131
87,1,51,1,1,1,1,113021
83,1,8,1,1,1,2,113021
63,1,25,6,1,1,1,15113X
143,1,19,1,1,1,1,15113X
112,2,48,1,1,1,1,151142
100,1,4,1,1,1,1,113021
74,1,6,1,1,1,1,151134
87,1,51,1,1,1,2,151134
60,1,1,1,1,1,2,151150
267,1,37,1,1,1,1,151150
72,1,18,1,1,1,1,151121
78,1,17,1,1,1,2,151121
256,1,33,1,1,1,1,15113X
51,1,12,1,1,1,2,113021
19,1,21,1,1,1,1,151142
40,1,35,1,1,1,2,15113X
12,1,6,1,1,1,1,113021
67,1,48,1,1,1,1,151143
75,1,26,1,1,1,2,151142
63,1,44,1,1,1,1,151121
290,1,11,1,1,1,1,151121
112,1,27,1,1,1,2,151121
80,1,36,1,1,1,1,15113X
48,1,51,1,1,1,1,113021
76,1,1,1,1,1,1,172061
97,2,51,6,1,1,1,151121
52,1,36,2,1,1,1,151131
23,1,6,6,5,4,1,15113X
182,8,48,1,1,1,1,15113X
59,1,6,6,4,4,1,15113X
43,1,51,9,1,1,1,151150
92,1,4,9,1,1,1,151134
15,1,49,1,1,1,2,113021
135,1,42,1,1,1,1,151150
81,1,36,1,1,1,1,151121
208,1,25,2,1,1,1,151142
44,1,31,1,1,1,1,151150
48,1,13,1,1,1,2,151150
68,1,51,1,1,1,1,151131
92,1,51,2,1,1,1,151141
338,1,6,1,1,1,1,113021
108,1,1,1,1,1,1,15113X
105,1,4,1,1,1,2,151131
65,1,48,6,4,4,1,151199
52,1,32,1,1,1,2,113021
257,1,49,1,1,1,1,151199
77,1,39,1,1,1,1,113021
91,1,34,1,6,4,1,151131
62,1,48,1,1,1,1,151199
101,1,8,1,1,1,2,15113X
90,1,6,1,1,1,1,151143
16,1,39,1,1,1,1,151150
57,1,32,9,1,1,2,151150
70,1,24,1,1,1,1,113021
79,1,6,1,1,1,2,151150
126,1,26,1,1,1,2,113021
72,1,6,1,1,1,2,113021
65,1,53,1,1,1,1,151131
231,1,6,6,1,1,1,113021
210,1,44,1,1,1,1,151150
60,1,6,1,1,1,1,151142
254,1,48,1,1,1,1,151142
97,1,36,1,1,1,1,172061
91,1,29,1,1,1,1,151121
62,1,6,2,1,1,2,15113X
75,1,39,1,1,1,1,15113X
74,1,24,1,1,1,1,113021
114,1,36,2,1,1,1,151199
114,1,21,1,1,1,1,151142
281,1,49,1,1,1,1,151134
197,1,53,6,1,1,1,151150
90,1,42,1,1,1,1,151131
81,1,6,1,5,4,1,151150
206,1,47,1,1,1,1,151134
93,1,36,1,1,1,1,151131
144,1,46,1,1,1,1,151142
70,1,36,1,1,1,1,15113X
63,1,24,1,5,4,1,151122
232,1,11,1,1,1,1,151134
106,1,25,1,1,1,1,15113X
59,1,37,2,6,5,2,151131
60,1,36,6,4,4,1,151150
79,1,6,1,1,1,1,15113X
81,1,34,6,4,4,1,113021
131,1,27,1,1,1,1,15113X
87,1,45,1,1,1,1,151131
23,1,26,1,1,1,2,113021
71,1,12,1,5,5,1,151131
106,1,29,1,1,1,1,15113X
85,1,6,6,4,4,2,15113X
108,1,8,1,1,1,1,15113X
105,1,12,1,1,1,1,151143
104,1,36,1,1,1,1,151150
56,1,51,1,1,1,1,151199
161,3,36,8,1,1,2,151141
298,1,47,1,1,1,1,172061
75,1,6,6,1,1,1,151131
77,1,17,6,4,4,2,151131
107,1,17,1,1,1,2,151121
74,1,10,2,3,5,1,151143
294,1,29,1,1,1,2,151141
101,1,51,1,1,1,1,151131
101,1,24,1,1,1,2,15113X
276,1,13,1,1,1,1,15113X
235,1,4,1,3,4,2,151121
92,1,48,1,1,1,1,151150
103,1,5,1,1,1,2,151131
82,1,6,6,4,5,1,15113X
181,1,51,2,1,1,1,151150
111,1,29,1,1,1,1,15113X
54,1,4,1,1,1,1,151199
97,1,17,1,1,1,1,151199
91,1,36,2,1,1,1,151143
75,1,13,1,1,1,2,151122
33,1,27,1,1,1,1,15113X
83,1,36,1,1,1,1,151199
70,1,53,1,1,1,2,113021
57,1,25,1,1,1,2,151134
70,1,36,1,1,1,1,151121
524,1,19,2,6,5,1,151131
220,1,6,1,1,1,2,15113X
84,1,4,4,1,1,1,172061
94,1,36,1,1,1,1,151199
87,1,31,1,1,1,1,151121
120,1,27,1,1,1,1,113021
75,1,6,1,1,1,1,151131
109,1,21,1,1,1,1,151131
56,1,36,1,1,1,1,151131
153,1,33,1,1,1,2,15113X
152,1,33,1,1,1,1,15113X
80,1,13,1,1,1,1,151142
70,1,31,1,1,1,1,151142
269,1,36,1,1,1,2,113021
77,1,29,1,1,1,2,151131
109,1,51,6,4,5,1,15113X
103,1,11,6,1,1,2,151199
20,1,41,1,1,1,1,113021
97,1,39,1,1,1,2,151150
106,1,6,6,4,5,1,15113X
86,2,48,1,1,1,1,151150
61,1,39,1,1,1,1,151143
72,1,6,6,1,1,2,15113X
78,1,53,6,4,5,1,15113X
16,1,51,1,1,1,1,113021
72,1,22,1,1,1,1,151142
92,1,25,1,1,1,2,113021
84,4,36,1,1,1,1,151121
123,1,55,1,1,1,1,151121
90,16,39,1,3,5,2,151141
143,1,13,6,1,1,1,15113X
75,1,10,1,1,1,2,151141
90,1,55,1,1,1,1,151134
110,1,49,1,1,1,1,15113X
73,1,6,6,4,4,2,151121
93,1,6,1,1,1,2,15113X
107,1,35,1,1,1,2,151131
244,1,53,1,1,1,1,151143
78,1,48,1,1,1,2,151150
81,1,25,1,1,1,1,151121
104,1,48,1,1,1,1,15113X
62,1,6,6,4,4,2,151134
97,1,26,1,5,5,1,151131
100,1,11,2,1,1,2,151142
73,1,8,2,1,1,1,151150
76,1,48,1,1,1,2,151150
194,1,19,1,1,1,1,151121
57,1,6,6,4,4,1,15113X
81,1,6,1,1,1,1,151134
227,1,6,6,4,4,1,151131
83,1,47,1,1,1,2,113021
126,1,18,1,1,1,1,151150
74,1,32,1,1,1,2,151131
107,1,8,1,1,1,1,151150
79,1,8,1,5,5,2,151150
76,1,21,2,1,1,1,151134
35,1,17,1,1,1,1,151121
91,1,36,1,1,1,1,15113X
83,1,12,6,4,4,1,15113X
96,24,48,9,1,1,1,151150
49,1,41,1,1,1,2,151150
23,1,27,1,1,1,2,113021
132,1,38,1,1,1,1,151199
70,1,6,6,4,5,2,15113X
90,1,19,1,1,1,1,15113X
93,1,26,1,1,1,2,151141
86,1,25,1,1,1,2,151142
85,1,26,1,1,1,1,151131
224,1,51,6,1,1,2,151142
118,1,13,1,1,1,1,15113X
87,1,4,1,1,1,1,151142
79,1,17,1,1,1,1,151150
98,1,9,1,1,1,1,15113X
28,1,20,1,1,1,1,151131
50,1,48,1,1,1,1,113021
83,1,36,1,1,1,1,151199
68,1,11,1,1,1,2,15113X
68,1,13,2,1,1,1,151150
46,1,24,1,1,1,1,15113X
39,1,51,6,4,4,2,15113X
131,1,51,1,1,1,1,113021
86,1,12,1,1,1,1,151150
62,1,6,1,1,1,2,151199
84,1,51,1,1,1,1,151142
148,1,17,1,1,1,1,15113X
62,1,53,1,1,1,2,151142
148,1,20,1,1,1,1,15113X
157,1,29,1,1,1,2,151199
62,1,48,1,1,1,1,151199
136,1,37,6,4,4,1,113021
159,1,37,6,4,4,2,15113X
84,1,20,1,1,1,2,113021
85,1,42,1,1,1,2,151150
188,1,36,1,1,1,1,151131
96,1,6,1,4,4,1,151131
48,1,25,1,1,1,1,113021
82,1,24,6,4,4,2,113021
49,1,42,6,4,5,1,15113X
38,1,12,1,1,1,1,151141
118,1,15,9,4,3,2,151121
128,1,27,1,1,1,2,113021
120,1,27,1,1,1,1,113021
17,1,34,6,4,5,2,113021
78,1,12,1,1,1,1,151121
134,1,36,2,1,1,1,151150
61,1,37,1,1,1,1,151131
83,1,53,1,1,1,1,113021
43,1,19,1,1,1,1,151150
57,1,47,1,1,1,2,151134
115,1,40,1,1,1,1,151199
64,1,48,1,1,1,2,151199
78,1,53,1,1,1,2,151150
97,2,37,8,1,1,1,15113X
92,1,53,1,1,1,1,151150
90,1,53,1,1,1,2,151150
79,1,53,6,4,4,1,172061
79,1,16,1,1,1,2,151199
148,1,48,1,1,1,1,151131
98,1,37,1,1,1,1,151121
111,1,36,1,4,4,1,15113X
66,1,13,2,1,1,2,151121
21,1,51,2,3,4,2,15113X
33,16,51,8,3,4,1,151150
107,1,48,3,1,1,2,151150
92,1,36,1,5,4,1,151131
114,1,39,1,1,1,1,15113X
86,1,6,6,4,4,2,15113X
25,1,19,1,1,1,1,151150
105,1,12,1,1,1,2,151199
71,1,36,1,1,1,2,15113X
52,1,18,1,1,1,1,151150
306,1,41,9,4,4,1,15113X
94,1,17,1,1,1,2,151150
97,24,53,9,4,5,1,151142
186,1,12,1,1,1,2,151121
86,1,51,2,1,1,1,15113X
54,1,48,1,1,1,2,15113X
160,1,34,1,1,1,2,151150
86,1,53,6,4,5,1,15113X
93,1,6,1,1,1,1,151131
143,1,41,1,1,1,1,151134
381,1,26,1,1,1,1,15113X
64,2,6,1,1,1,2,151131
73,1,12,1,1,1,2,151142
106,1,48,6,4,4,1,151134
138,1,51,1,1,1,1,113021
14,1,39,1,1,1,1,15113X
294,1,36,1,1,1,1,151134
227,1,12,1,1,1,2,15113X
68,1,6,1,1,1,1,15113X
80,1,6,9,5,4,1,151121
94,1,6,1,1,1,2,113021
81,1,51,1,1,1,1,151121
76,1,36,1,1,1,1,151150
74,1,36,1,1,1,2,151131
56,1,17,6,1,1,2,151150
141,1,51,1,1,1,1,113021
64,1,48,1,1,1,1,15113X
46,1,1,1,1,1,1,113021
80,1,34,1,1,1,1,151150
48,1,42,1,1,1,2,113021
219,1,6,6,4,5,1,15113X
255,1,6,1,1,1,1,15113X
274,1,6,6,1,1,1,15113X
93,1,49,1,1,1,1,113021
127,1,6,6,1,1,1,151121
94,1,17,1,5,5,1,151142
81,1,17,6,4,5,2,113021
285,1,25,1,1,1,1,151143
51,1,27,9,1,1,1,151150
103,1,27,1,1,1,1,151150
295,1,8,1,1,1,1,151150
72,1,11,1,1,1,2,151131
126,1,51,1,1,1,1,151134
73,1,37,1,1,1,1,151142
107,1,34,6,4,4,1,151199
23,1,42,1,1,1,1,15113X
212,1,51,1,1,1,1,151142
71,1,39,1,1,1,1,151134
44,1,44,1,1,1,1,151131
94,2,6,1,1,1,1,113021
153,1,55,1,1,1,1,113021
132,1,51,1,1,1,1,151122
104,1,24,1,1,1,1,151142
98,1,13,2,1,1,2,151121
71,1,55,1,1,1,2,113021
220,1,36,1,1,1,2,151141
66,1,8,1,1,1,1,15113X
76,1,25,2,3,5,1,151131
72,1,33,1,1,1,2,151121
73,4,12,1,1,1,1,113021
232,1,48,1,1,1,1,151134
103,1,39,1,1,1,1,113021
89,1,6,1,1,1,1,151121
37,1,37,1,1,1,1,151150
69,2,6,8,1,1,1,151150
58,1,25,1,1,1,2,113021
72,1,6,1,1,1,1,151134
54,1,8,1,1,1,1,151143
161,1,12,1,1,1,1,151134
63,1,6,1,1,1,1,172061
60,1,6,1,1,1,2,151134
88,1,40,1,1,1,1,151134
95,23,6,1,1,1,1,151121
72,1,6,1,1,1,1,151150
91,1,6,6,4,4,1,151131
91,1,6,6,4,5,2,15113X
120,1,6,6,4,4,2,151121
107,1,8,1,1,1,1,151131
106,1,39,1,1,1,1,151199
70,1,6,1,1,1,1,151131
114,1,6,6,4,5,1,113021
54,1,11,1,1,1,2,15113X
109,1,12,1,5,4,1,151131
53,1,48,6,1,1,1,15113X
67,1,12,1,1,1,1,15113X
72,1,12,1,1,1,2,113021
101,1,6,6,4,4,2,151131
76,1,13,1,1,1,2,113021
106,1,13,2,1,1,1,151143
33,1,40,3,1,1,2,113021
109,1,36,6,4,4,1,151199
36,1,50,1,1,1,2,151121
435,1,46,1,1,1,1,151131
130,1,25,6,1,1,1,151141
48,1,28,1,1,1,2,15113X
60,1,48,6,4,4,1,151150
63,1,6,1,1,1,2,15113X
37,1,36,1,1,1,1,151121
43,1,36,1,1,1,2,151150
72,1,5,1,1,1,1,151131
118,1,21,1,1,1,2,113021
81,1,51,6,4,4,2,151131
114,1,8,1,1,1,1,151131
75,1,53,1,1,1,1,151150
107,1,48,1,1,1,2,151121
21,1,51,1,1,1,1,151131
47,1,34,6,4,4,2,151131
227,1,4,1,1,1,2,151121
87,1,25,1,1,1,1,151150
56,1,24,6,1,1,2,151131
87,1,53,6,4,5,1,15113X
79,1,4,1,1,1,1,15113X
83,1,47,1,1,1,1,113021
47,1,49,1,1,1,1,151131
100,1,36,1,1,1,1,151121
428,1,27,6,4,4,1,151121
57,1,6,1,1,1,2,151134
91,1,47,8,4,5,1,151131
235,1,48,1,4,5,1,15113X
93,1,6,1,1,1,1,113021
97,1,6,1,1,1,1,151142
166,1,6,2,1,1,1,151142
190,1,48,1,1,1,1,15113X
91,1,53,1,1,1,1,151150
69,1,48,1,5,4,2,151150
75,1,6,6,4,5,1,15113X
68,1,53,1,1,1,1,151131
98,3,17,2,2,2,2,151150
71,1,9,1,1,1,1,15113X
62,1,6,6,1,1,1,151131
87,1,53,1,1,1,1,151150
80,1,1,6,4,5,1,151199
85,1,34,1,1,1,1,151134
57,1,48,6,4,4,1,151131
76,1,11,2,1,1,1,15113X
59,1,40,1,1,1,1,151121
83,1,6,2,1,1,1,15113X
75,1,4,1,1,1,1,15113X
28,1,45,1,1,1,1,151150
32,7,17,1,1,1,2,15113X
70,1,24,6,4,4,1,151131
75,1,13,1,1,1,1,151131
208,1,17,1,1,1,1,151131
267,1,36,1,1,1,2,151199
94,1,37,1,1,1,2,151150
97,1,48,1,1,1,1,15113X
78,1,48,1,1,1,1,151199
124,1,27,1,1,1,2,15113X
78,1,53,1,1,1,1,151131
236,1,34,6,4,5,1,151142
77,1,12,1,1,1,1,151131
120,1,55,1,1,1,2,151142
38,1,53,1,1,1,1,151150
38,1,45,6,6,4,2,151131
103,1,49,1,1,1,1,151199
97,1,51,1,5,3,1,151199
87,1,39,1,1,1,2,151131
105,2,53,1,1,1,1,151142
82,1,34,1,1,1,1,15113X
64,1,8,1,1,1,2,15113X
102,1,8,1,1,1,1,15113X
77,1,35,1,1,1,2,151111
51,1,27,1,1,1,1,113021
43,1,6,6,4,5,1,151131
49,1,6,6,4,5,2,151131
59,1,6,1,5,4,1,15113X
93,1,6,6,4,5,2,15113X
81,1,13,1,1,1,1,151141
102,1,48,1,1,1,1,151143
65,1,6,1,1,1,1,15113X
70,1,6,1,1,1,2,151131
54,1,6,2,6,4,1,151142
73,1,10,1,1,1,1,151142
71,1,13,1,1,1,1,151199
85,1,41,1,1,1,1,15113X
153,1,6,6,4,4,1,151142
80,1,37,1,1,1,1,151150
84,1,42,6,4,5,1,15113X
139,1,27,1,1,1,1,151142
293,1,42,1,1,1,2,151121
104,1,17,1,1,1,1,15113X
113,1,21,1,1,1,1,151141
232,1,25,1,1,1,1,15113X
55,1,24,1,1,1,1,113021
78,1,37,1,1,1,1,15113X
82,1,12,9,1,1,2,151121
98,1,51,1,1,1,1,151142
160,1,36,1,1,1,1,151199
63,1,6,1,1,1,1,151131
67,1,12,1,1,1,1,151131
