PWGTP,HISP,POWSP,RAC1P,WAOB,CIT,SEX,SOCP
87,1,6,1,1,1,2,113021
133,1,51,6,4,4,1,151199
113,1,27,1,1,1,1,151131
64,1,6,6,1,1,1,151150
69,1,48,1,1,1,2,151150
68,1,48,1,1,1,1,151150
54,1,6,1,1,1,1,113021
88,1,8,1,1,1,1,151150
176,1,36,1,1,1,2,151134
89,1,51,9,4,4,1,151134
63,24,51,1,1,1,1,15113X
73,1,4,1,1,1,1,15113X
90,1,6,1,1,1,1,151150
69,1,12,1,1,1,2,151150
131,1,27,1,1,1,1,151150
109,1,11,1,1,1,1,151134
49,1,4,1,1,1,1,151143
54,1,4,1,1,1,1,15113X
92,1,6,6,4,4,1,151143
71,1,6,1,1,1,1,113021
269,1,48,2,1,1,1,151150
708,1,6,2,1,1,1,113021
89,1,37,1,1,1,2,151143
97,1,42,1,1,1,1,113021
82,1,6,1,1,1,1,151150
122,1,26,1,5,4,1,151131
87,1,8,1,1,1,1,151150
148,1,55,1,1,1,1,113021
79,1,25,6,4,5,1,151199
175,1,44,1,1,1,1,15113X
61,1,12,1,1,1,1,151131
49,1,51,2,1,1,2,151121
59,1,48,1,1,1,1,151150
75,1,6,6,4,5,1,15113X
60,1,18,1,1,1,1,151141
65,1,37,1,1,1,1,151122
96,1,18,1,1,1,1,151143
114,1,24,1,1,1,2,151150
74,1,6,1,1,1,1,113021
50,1,34,1,1,1,2,151150
76,1,37,1,1,1,1,151121
84,1,12,1,1,1,1,15113X
69,1,36,1,5,4,1,151131
68,1,6,1,1,1,1,113021
65,1,9,1,1,1,1,15113X
76,1,32,1,1,1,1,151199
93,1,37,1,1,1,2,113021
17,1,26,1,1,1,2,151150
61,1,11,1,1,1,1,15113X
88,1,10,1,1,1,1,151131
95,1,53,1,1,1,1,15113X
62,3,6,9,1,1,2,151142
78,1,24,1,1,1,1,151199
68,1,51,1,1,1,2,151121
237,1,12,1,1,1,2,151150
77,2,8,1,1,1,1,151121
130,1,2,1,1,1,1,15113X
109,1,40,1,1,1,1,151199
64,1,4,1,1,1,2,151121
127,1,42,1,1,1,1,15113X
74,1,48,1,1,1,1,151150
19,1,39,2,1,1,2,151121
149,1,42,1,1,1,1,151142
59,1,53,1,1,1,1,15113X
66,1,1,2,1,1,1,151150
67,1,1,2,1,1,2,15113X
67,1,13,1,5,5,1,151131
112,1,6,6,4,5,2,15113X
64,1,6,1,7,5,1,113021
229,1,6,1,1,1,2,151134
31,1,42,1,1,1,1,151134
36,1,13,1,1,1,1,151150
51,1,12,1,1,1,1,151143
21,1,42,1,1,1,1,151121
107,1,25,6,4,4,1,113021
80,1,6,1,1,1,1,151134
81,2,48,1,3,5,1,151131
64,1,6,6,4,5,1,151121
89,1,6,6,4,5,1,15113X
286,1,26,1,1,1,1,151143
83,1,25,1,8,5,1,15113X
72,1,36,1,1,1,1,113021
91,1,13,1,1,1,2,151199
81,1,4,1,1,1,1,151199
70,1,24,1,1,1,1,113021
111,1,42,1,1,1,1,151150
99,1,51,9,4,4,1,151121
22,1,55,1,1,1,1,151150
62,1,4,1,1,1,1,15113X
62,1,41,1,1,1,1,151134
85,1,17,1,1,1,1,151199
63,1,37,2,1,1,1,151199
64,1,39,1,1,1,1,151121
47,1,48,1,1,1,2,15113X
56,1,48,1,1,1,2,113021
80,1,12,1,1,1,1,151143
89,3,36,6,4,4,2,113021
47,1,36,1,1,1,2,151199
65,7,34,1,1,1,1,151150
51,1,4,2,1,1,1,151142
77,1,28,2,1,1,1,151142
38,1,27,1,1,1,1,113021
62,1,48,1,1,1,1,113021
165,1,51,1,1,1,1,151122
231,1,12,1,1,1,1,15113X
84,1,24,1,1,1,1,151121
68,1,51,1,1,1,1,15113X
22,1,36,1,1,1,1,151131
67,1,36,1,5,4,2,151131
172,1,18,9,1,1,1,151143
80,1,6,1,1,1,1,151199
69,1,48,6,4,4,1,15113X
110,1,36,1,4,4,1,151131
52,1,51,2,1,1,1,15113X
83,1,29,1,1,1,1,113021
82,1,53,1,5,4,1,15113X
79,1,8,6,4,4,1,15113X
110,1,29,1,1,1,1,151199
222,1,25,6,4,5,2,15113X
45,24,35,1,1,1,2,151142
81,1,13,1,1,1,1,15113X
91,1,8,6,4,5,1,151143
51,1,22,1,1,1,1,151141
77,1,48,1,1,1,2,151121
89,1,39,1,1,1,1,151199
31,1,53,3,1,1,1,113021
63,4,12,1,3,4,1,113021
107,1,17,1,1,1,1,113021
318,1,23,1,1,1,1,151143
94,1,47,1,1,1,2,151131
66,1,39,1,1,1,2,151142
87,9,6,1,3,4,1,113021
90,1,36,1,1,1,1,151199
174,17,36,1,1,1,1,151142
86,2,6,1,1,1,1,151143
297,1,36,1,5,4,1,151131
120,1,39,6,4,4,2,151150
72,1,6,6,4,5,1,151131
73,1,34,1,5,5,1,151131
116,1,18,1,1,1,1,151121
93,1,13,6,4,5,1,15113X
21,1,17,9,1,1,2,151121
77,1,42,1,1,1,1,15113X
139,1,13,2,1,1,2,151199
139,1,42,1,1,1,1,15113X
373,1,36,1,1,1,1,151131
90,1,17,1,1,1,1,151134
132,1,42,1,1,1,1,151121
115,1,42,1,1,1,2,113021
78,2,32,1,1,1,1,151150
73,1,6,1,5,5,1,151111
63,1,6,1,5,5,2,15113X
54,1,25,1,1,1,1,151121
107,1,25,1,1,1,1,151150
72,1,47,1,1,1,1,151131
80,1,53,1,1,1,2,151134
167,1,40,2,1,1,2,151121
116,1,53,6,1,1,1,15113X
62,1,33,1,1,1,2,151141
70,1,25,1,7,5,1,15113X
