"","PWGTP","SEX","RAC1P","POWSP","HISP","SOCP"
"184","65","2","6","24","1","15113X"
"185","111","1","1","36","1","151142"
"186","67","1","6","6","1","15113X"
"187","36","2","1","13","1","151199"
"188","101","2","1","26","1","15113X"
"189","32","1","3","49","1","151150"
"190","66","1","1","51","1","151143"
"191","17","1","6","48","1","15113X"
"192","160","1","6","20","1","151121"
"193","64","1","1","47","1","15113X"
"194","196","1","1","48","2","151143"
"195","93","1","1","13","1","151121"
"196","102","2","1","13","1","151121"
"197","125","1","1","39","1","151134"
"198","48","1","1","35","1","151121"
"199","40","1","1","12","1","151199"
"200","54","1","1","25","1","15113X"
"201","59","1","1","26","1","172070"
"202","99","1","1","36","1","15113X"
"203","102","1","6","34","1","15113X"
"204","51","1","6","17","1","15113X"
"205","90","2","6","17","1","15113X"
"206","125","2","1","29","1","151131"
"207","206","1","1","23","1","151150"
"208","114","1","2","48","1","151142"
"209","146","2","6","37","1","151199"
"210","155","1","6","37","1","151199"
"211","54","1","6","48","1","151131"
"212","70","1","6","36","1","151199"
"213","72","1","1","37","1","151121"
"214","105","1","6","33","1","151199"
"215","49","1","1","37","1","151150"
"216","43","1","1","8","1","151150"
"217","189","1","1","25","1","151199"
"218","286","1","1","6","1","151150"
"219","67","2","1","51","1","151199"
"220","79","1","1","51","1","151199"
"221","331","1","1","12","1","172070"
"222","66","2","6","17","1","15113X"
"223","106","1","6","17","1","15113X"
"224","52","1","9","32","1","15113X"
"225","51","2","6","6","1","151142"
"226","57","1","1","6","1","151121"
"227","82","1","1","25","1","15113X"
"228","59","1","1","6","1","151134"
"229","237","2","1","24","1","151199"
"230","215","2","1","26","1","151121"
"231","148","1","1","26","1","151121"
"232","55","1","1","49","1","151141"
"233","96","1","1","17","1","151199"
"234","54","1","1","51","1","151142"
"235","133","1","6","36","1","15113X"
"236","78","1","1","36","1","15113X"
"237","81","1","1","41","1","151131"
"238","89","1","1","29","1","151134"
"239","119","1","1","6","2","151150"
"240","340","1","1","12","3","151122"
"241","94","1","2","11","1","151121"
"242","145","2","1","41","1","151131"
"243","33","1","1","42","1","151142"
