PWGTP,HISP,WAOB,CIT,SEX,POWSP,RAC1P,SOCP
87,1,1,1,1,4,1,151121
33,1,1,1,2,39,1,151121
112,1,4,4,1,17,6,172061
114,1,1,1,2,36,1,113021
68,1,1,1,1,4,1,113021
100,1,1,1,1,20,1,151199
67,1,4,4,2,6,6,113021
63,1,4,4,1,6,6,113021
108,1,4,5,2,42,6,151131
41,1,4,4,2,9,6,113021
65,1,4,4,1,12,6,15113X
104,1,5,4,1,48,1,151150
162,1,1,1,1,26,1,151199
116,1,1,1,2,18,1,15113X
105,1,1,1,1,26,1,15113X
73,1,1,1,1,53,1,113021
100,1,4,5,1,6,6,15113X
62,4,1,1,2,37,1,151121
196,1,1,1,1,36,1,151131
44,1,1,1,1,34,1,113021
69,1,1,1,2,29,1,151121
126,1,1,1,2,51,1,15113X
97,1,1,1,2,36,1,151150
78,1,5,3,1,6,1,151150
126,1,4,5,1,36,6,15113X
43,1,1,1,1,28,1,151122
37,1,1,1,2,28,1,15113X
115,1,4,4,2,4,6,151142
65,1,3,4,2,51,2,151121
243,1,4,4,1,6,6,151121
56,1,1,1,1,34,1,151150
63,1,7,5,1,48,1,15113X
115,1,1,1,1,37,1,15113X
116,1,1,1,1,37,1,151199
26,1,1,1,1,48,1,151199
44,1,1,1,1,27,1,113021
92,1,1,1,1,29,1,15113X
90,1,1,1,1,41,1,15113X
127,1,4,5,1,6,6,15113X
161,1,1,1,1,33,1,151134
130,1,1,1,1,17,1,113021
140,1,1,1,1,6,1,151131
66,1,1,1,1,48,1,151142
63,1,1,1,1,51,1,151142
69,1,1,1,1,48,1,15113X
64,1,4,4,1,34,6,151199
161,1,1,1,1,17,1,113021
67,1,4,4,1,6,6,151150
114,1,1,1,1,39,9,151150
67,1,1,1,1,49,1,151199
24,1,1,1,1,39,1,151150
90,1,1,1,2,48,1,15113X
112,1,1,1,1,51,1,15113X
71,1,3,3,1,51,1,151131
120,1,1,1,1,39,1,113021
82,1,6,5,1,24,2,113021
74,1,1,1,1,53,1,151150
65,1,1,1,2,27,9,151134
68,1,1,1,1,47,1,151199
32,1,4,4,1,6,6,151131
50,1,1,1,2,37,1,113021
114,1,4,5,1,36,6,15113X
74,1,1,1,1,39,1,151199
120,1,4,5,1,55,6,113021
64,1,1,1,2,16,1,151131
140,1,1,1,1,17,6,15113X
126,2,1,1,1,6,1,15113X
141,1,1,1,1,31,1,151150
127,1,1,1,1,20,1,15113X
53,1,1,1,1,40,9,151121
120,2,3,4,1,48,1,151150
67,1,1,1,2,37,1,15113X
63,1,1,1,1,8,1,15113X
151,1,1,1,2,8,1,151142
68,1,1,1,2,25,1,151199
62,1,1,1,2,42,1,151134
100,1,4,5,1,34,1,151142
209,1,1,1,1,4,1,113021
30,1,1,1,2,1,2,151199
285,1,1,1,2,12,2,151199
172,1,1,1,1,17,1,151131
64,2,1,1,1,8,1,151143
112,1,1,1,1,11,2,15113X
73,1,1,1,1,12,1,151142
100,1,4,5,1,11,1,15113X
81,1,1,1,1,48,1,151150
64,1,4,5,2,32,6,15113X
73,1,1,1,2,37,1,151142
226,1,1,1,1,6,1,113021
75,1,1,1,1,55,9,151150
47,1,1,1,1,6,1,113021
73,15,3,4,1,49,1,151141
419,1,1,1,2,29,1,15113X
79,1,1,1,2,41,9,151142
86,1,1,1,1,47,1,151131
183,1,7,4,2,6,1,151150
114,1,1,1,1,48,1,151199
61,1,5,4,2,6,1,151131
58,1,1,1,1,47,1,113021
40,1,1,1,1,27,1,151121
66,19,3,4,2,12,1,15113X
41,1,1,1,1,34,1,113021
53,1,1,1,2,34,1,113021
94,1,1,1,2,6,1,151150
239,1,4,4,1,17,6,151150
230,1,4,5,2,17,6,151141
110,1,1,1,1,17,1,15113X
89,1,1,1,1,37,1,15113X
43,1,1,1,2,55,1,151199
120,1,1,1,2,13,2,151142
138,1,1,1,1,27,1,151121
108,4,1,1,1,12,1,151199
38,1,4,5,1,6,6,151199
89,1,1,1,1,26,1,151142
334,1,1,1,1,36,1,113021
51,1,1,1,1,27,1,15113X
141,1,1,1,1,51,1,15113X
103,1,1,1,2,18,1,113021
44,2,1,1,1,20,8,151142
49,1,1,1,1,42,1,151199
82,1,1,1,1,47,1,113021
38,1,1,1,2,4,1,113021
104,1,1,1,1,4,3,113021
105,1,1,1,1,36,1,151121
45,1,1,1,1,39,1,113021
96,1,1,1,1,48,1,151121
68,3,2,2,2,4,1,151142
53,3,2,2,1,4,1,15113X
64,1,6,3,1,4,1,151141
64,1,4,5,1,36,6,15113X
76,1,4,5,1,36,6,15113X
86,1,1,1,1,17,1,151122
135,1,1,1,1,25,1,15113X
151,1,1,1,1,6,1,113021
43,1,1,1,1,46,1,151142
129,1,1,1,1,48,1,15113X
90,1,1,1,2,34,1,151134
136,1,1,1,2,29,1,151121
106,1,1,1,1,4,1,151150
223,15,3,4,1,34,1,151142
429,1,1,1,1,49,1,151150
86,1,1,1,1,5,1,15113X
185,1,1,1,2,41,1,113021
177,1,1,1,1,42,1,151142
86,1,4,5,1,34,6,15113X
96,1,4,5,2,34,6,15113X
79,1,1,1,2,39,1,15113X
155,1,1,1,2,12,1,151121
18,1,1,1,2,17,1,151121
203,1,1,1,1,36,1,15113X
35,1,1,1,1,41,1,15113X
95,1,1,1,2,12,1,113021
141,24,1,1,2,35,6,15113X
63,1,1,1,2,4,1,151131
69,1,8,5,1,5,1,15113X
59,1,1,1,1,34,1,151131
89,1,1,1,1,29,1,151121
102,1,1,1,2,13,2,151121
61,1,1,1,2,4,1,15113X
103,1,1,1,1,48,1,113021
42,1,1,1,1,6,1,113021
18,1,1,1,1,36,1,15113X
263,1,1,1,1,48,1,151131
35,1,1,1,1,4,1,151199
116,1,4,5,2,48,6,172061
383,1,5,4,1,12,1,151122
122,1,1,1,1,36,1,151131
119,1,5,4,1,13,1,113021
529,1,1,1,1,42,1,151150
75,1,1,1,1,6,1,15113X
101,1,1,1,1,26,1,151121
71,1,1,1,1,8,1,151134
52,2,1,1,2,8,1,151141
81,1,1,1,1,6,1,151142
76,1,1,1,1,51,1,15113X
55,1,1,1,1,6,1,151131
55,1,1,1,1,6,1,151131
109,1,1,1,1,25,1,151150
154,1,4,4,1,6,6,15113X
72,1,1,1,1,48,1,113021
85,1,1,1,1,12,1,151199
133,1,1,1,1,32,1,151121
85,1,1,1,1,12,1,151150
176,1,1,1,1,55,1,113021
89,1,1,1,2,48,2,113021
168,1,1,1,1,29,1,15113X
258,2,1,1,1,48,1,151142
99,1,1,1,1,10,6,151134
109,1,1,1,1,37,1,151150
76,1,1,1,2,51,2,151199
82,1,1,1,1,24,2,15113X
116,1,1,1,1,1,1,151142
136,1,1,1,2,51,1,15113X
73,1,7,5,1,5,6,151121
105,1,4,5,2,6,6,151131
111,1,1,1,1,48,1,151131
45,1,1,1,1,32,1,151150
79,1,1,1,2,6,1,151134
57,1,1,1,1,6,1,151142
133,1,1,1,1,1,1,113021
117,1,1,1,2,1,1,151199
73,1,1,1,2,6,1,151141
165,1,1,1,1,26,1,151121
72,1,1,1,1,47,1,151131
377,1,1,1,1,25,1,113021
92,1,1,1,1,42,1,15113X
93,1,1,1,1,34,1,15113X
12,1,1,1,1,21,1,151131
54,1,1,1,1,34,6,113021
75,1,1,1,1,39,1,151199
76,1,1,1,1,6,2,151150
94,1,1,1,1,36,1,151143
70,1,1,1,1,42,1,151131
85,4,3,4,1,9,1,151199
316,1,1,1,2,37,2,151121
91,1,4,4,1,42,6,151131
114,1,4,5,2,48,6,15113X
55,1,1,1,2,22,1,15113X
68,1,1,1,1,53,1,15113X
76,1,1,1,1,36,1,151199
154,1,1,1,1,42,1,151150
62,1,6,5,2,55,6,151121
131,1,1,1,2,55,1,151150
128,1,1,1,2,55,1,15113X
59,1,1,1,1,25,1,151131
46,1,1,1,2,13,1,151121
132,1,1,1,1,12,1,151150
182,1,4,5,1,4,6,151199
92,1,1,1,1,31,1,151131
69,1,4,5,1,6,6,151131
145,1,3,4,1,31,2,151150
254,1,1,1,1,53,1,15113X
117,1,1,1,2,37,1,15113X
58,1,1,1,2,32,1,151121
216,1,1,1,1,6,9,151131
66,1,1,1,1,6,6,151131
87,1,1,1,1,6,6,151131
98,1,1,1,1,20,1,151199
314,1,1,1,1,45,2,151142
78,1,1,1,1,39,1,151150
93,1,1,1,1,1,1,151121
107,1,5,4,1,34,1,113021
55,1,1,1,2,45,2,151150
57,1,1,1,2,8,1,15113X
128,1,1,1,1,53,1,15113X
161,1,1,1,1,42,1,151150
121,2,1,1,1,35,1,151131
106,1,1,1,2,22,1,151121
83,1,4,5,1,6,6,113021
51,1,1,1,1,38,1,151142
81,1,1,1,1,42,1,151150
56,1,6,5,1,24,1,113021
59,1,5,4,1,51,9,15113X
45,2,1,1,2,6,9,151121
178,1,1,1,2,42,1,151141
21,1,1,1,1,51,1,151143
89,1,4,4,1,29,6,151122
111,1,1,1,2,34,6,151131
116,1,1,1,2,24,1,151150
107,1,5,5,1,6,1,15113X
79,1,1,1,1,9,1,151199
173,1,1,1,1,19,1,151142
140,1,3,4,1,6,6,15113X
40,1,1,1,1,48,1,15113X
123,13,5,5,1,12,1,15113X
170,1,1,1,1,2,1,151150
80,1,1,1,1,39,1,151150
128,1,1,1,1,33,1,15113X
154,1,1,1,1,12,1,151131
233,1,5,5,1,12,1,151199
102,9,1,1,1,12,1,151199
145,1,1,1,1,17,2,151199
64,1,1,1,1,48,1,151150
17,1,1,1,1,13,1,151150
86,1,1,1,1,39,1,151121
406,1,6,4,1,29,2,151150
70,1,4,4,1,6,9,15113X
73,1,1,1,1,48,1,151150
74,1,1,1,1,6,6,151143
80,1,4,3,2,24,9,151111
162,1,1,1,2,37,1,151150
112,1,6,5,1,50,2,151142
118,1,6,5,1,50,2,151142
53,1,4,4,2,6,6,151121
75,1,1,1,1,6,1,15113X
130,1,1,1,1,48,1,113021
133,1,1,1,1,33,1,151131
100,1,1,1,1,13,1,151121
124,1,1,1,1,6,1,151142
39,13,3,5,1,12,1,113021
71,1,5,5,1,26,1,113021
73,1,1,1,1,48,1,113021
111,1,1,1,1,11,2,151150
97,1,1,1,2,6,1,113021
291,1,1,1,1,42,1,151131
132,1,4,5,1,17,6,113021
130,1,4,5,2,17,6,151141
69,1,1,1,1,12,1,151142
104,1,1,1,1,25,1,15113X
72,1,1,1,1,22,1,15113X
86,1,1,1,1,39,1,151199
95,1,5,5,1,32,1,151141
67,1,1,1,1,41,1,151199
36,1,1,1,1,25,1,15113X
112,1,1,1,2,39,1,151134
84,1,4,4,1,17,6,15113X
98,1,4,4,1,44,6,151150
329,1,1,1,2,17,2,151150
68,1,1,1,1,39,1,151150
82,1,1,1,1,25,1,151142
72,17,1,1,2,24,6,151150
158,1,1,1,2,25,1,151121
49,24,5,4,2,36,8,151141
58,1,1,1,1,4,1,15113X
95,1,1,1,1,4,1,15113X
93,1,1,1,1,6,1,151121
70,1,5,4,1,13,1,15113X
120,1,1,1,2,8,1,151121
135,1,1,1,2,24,1,15113X
76,1,1,1,1,4,1,151142
244,1,1,1,1,20,1,15113X
80,1,1,1,1,26,1,151150
172,1,4,5,1,6,6,151131
131,1,1,1,1,45,1,151150
45,1,1,1,1,8,1,151131
68,1,1,1,1,25,1,151134
255,23,1,1,1,22,1,151150
130,1,1,1,1,21,1,151131
66,1,1,1,1,47,1,113021
118,9,3,5,1,41,1,15113X
93,1,4,5,1,6,1,113021
64,1,1,1,1,12,1,151199
117,1,1,1,2,21,1,113021
136,1,5,4,1,36,2,151199
225,1,4,4,1,40,6,113021
80,1,1,1,1,48,1,151121
65,1,1,1,1,34,1,151150
55,1,4,4,1,6,6,151199
108,1,1,1,2,4,1,151199
94,13,3,4,1,6,1,151199
89,1,1,1,1,26,1,151199
46,1,5,3,1,55,1,151121
